* Measurement data measured by REW V5.20 Beta 4
* Source: Microphone (E.A.R.S Gain: 18dB  ), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -7.0 dBFS  With no timing reference
* Dated: Jan 28, 2019 11:09:02 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Audio-Technica M50x L
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.1 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.145 98.622 116.712
20.291 98.677 116.522
20.438 98.732 116.211
20.586 98.813 115.729
20.735 98.941 115.057
20.885 99.068 114.391
21.037 99.180 113.805
21.189 99.287 113.250
21.343 99.390 112.725
21.497 99.489 112.231
21.653 99.588 111.735
21.810 99.689 111.232
21.968 99.790 110.730
22.127 99.890 110.234
22.288 99.989 109.740
22.449 100.088 109.247
22.612 100.186 108.756
22.776 100.284 108.260
22.941 100.381 107.759
23.107 100.476 107.255
23.274 100.571 106.747
23.443 100.664 106.235
23.613 100.756 105.719
23.784 100.846 105.201
23.956 100.934 104.680
24.130 101.021 104.158
24.305 101.105 103.637
24.481 101.188 103.116
24.658 101.269 102.600
24.837 101.348 102.086
25.017 101.427 101.577
25.198 101.504 101.073
25.381 101.580 100.574
25.565 101.655 100.081
25.750 101.729 99.592
25.937 101.804 99.108
26.125 101.878 98.627
26.314 101.952 98.148
26.505 102.027 97.669
26.697 102.101 97.190
26.890 102.176 96.709
27.085 102.250 96.225
27.281 102.325 95.737
27.479 102.400 95.243
27.678 102.474 94.744
27.879 102.548 94.239
28.081 102.622 93.728
28.284 102.696 93.210
28.489 102.768 92.685
28.696 102.841 92.154
28.904 102.912 91.616
29.113 102.983 91.072
29.324 103.053 90.522
29.537 103.122 89.965
29.751 103.190 89.402
29.966 103.257 88.832
30.183 103.324 88.254
30.402 103.389 87.670
30.622 103.453 87.078
30.844 103.515 86.478
31.068 103.576 85.872
31.293 103.635 85.259
31.520 103.691 84.642
31.748 103.746 84.020
31.978 103.798 83.397
32.210 103.847 82.773
32.443 103.894 82.153
32.678 103.939 81.539
32.915 103.980 80.934
33.154 104.020 80.340
33.394 104.058 79.762
33.636 104.095 79.201
33.880 104.131 78.658
34.125 104.167 78.134
34.372 104.204 77.628
34.621 104.244 77.137
34.872 104.285 76.657
35.125 104.329 76.184
35.380 104.377 75.710
35.636 104.428 75.227
35.894 104.482 74.730
36.154 104.538 74.211
36.416 104.595 73.664
36.680 104.652 73.088
36.946 104.709 72.480
37.214 104.763 71.841
37.483 104.813 71.176
37.755 104.859 70.491
38.029 104.900 69.791
38.304 104.935 69.086
38.582 104.965 68.385
38.861 104.990 67.695
39.143 105.010 67.022
39.427 105.028 66.373
39.712 105.043 65.749
40.000 105.057 65.150
40.290 105.071 64.577
40.582 105.086 64.024
40.876 105.103 63.485
41.172 105.123 62.953
41.470 105.145 62.421
41.771 105.169 61.881
42.074 105.196 61.326
42.379 105.223 60.750
42.686 105.251 60.147
42.995 105.277 59.516
43.306 105.301 58.855
43.620 105.322 58.165
43.936 105.338 57.449
44.255 105.348 56.711
44.575 105.352 55.957
44.898 105.348 55.191
45.224 105.336 54.422
45.552 105.315 53.654
45.882 105.286 52.897
46.214 105.247 52.155
46.549 105.198 51.439
46.886 105.140 50.755
47.226 105.071 50.116
47.568 104.993 49.535
47.913 104.904 49.027
48.260 104.806 48.610
48.610 104.701 48.302
48.962 104.592 48.121
49.317 104.483 48.077
49.674 104.378 48.177
50.034 104.284 48.412
50.397 104.203 48.767
50.762 104.142 49.211
51.130 104.102 49.709
51.500 104.083 50.222
51.874 104.084 50.713
52.249 104.101 51.156
52.628 104.129 51.535
53.009 104.163 51.850
53.394 104.199 52.112
53.781 104.235 52.341
54.170 104.271 52.561
54.563 104.307 52.792
54.958 104.346 53.049
55.356 104.392 53.335
55.758 104.447 53.644
56.162 104.514 53.959
56.569 104.595 54.257
56.978 104.689 54.515
57.391 104.795 54.712
57.807 104.910 54.833
58.226 105.030 54.872
58.648 105.155 54.826
59.073 105.280 54.701
59.501 105.405 54.501
59.932 105.529 54.234
60.367 105.650 53.907
60.804 105.768 53.528
61.245 105.882 53.102
61.688 105.993 52.634
62.135 106.100 52.129
62.586 106.204 51.590
63.039 106.304 51.021
63.496 106.400 50.424
63.956 106.493 49.799
64.420 106.582 49.150
64.886 106.668 48.475
65.357 106.750 47.775
65.830 106.829 47.051
66.307 106.903 46.302
66.788 106.973 45.529
67.272 107.038 44.731
67.759 107.098 43.908
68.250 107.153 43.059
68.745 107.202 42.184
69.243 107.243 41.283
69.745 107.275 40.359
70.250 107.298 39.415
70.759 107.308 38.460
71.272 107.306 37.504
71.788 107.289 36.564
72.309 107.256 35.660
72.833 107.208 34.819
73.360 107.145 34.069
73.892 107.069 33.441
74.427 106.985 32.965
74.967 106.899 32.662
75.510 106.819 32.537
76.057 106.753 32.577
76.608 106.708 32.748
77.163 106.690 33.001
77.723 106.701 33.274
78.286 106.738 33.512
78.853 106.798 33.666
79.424 106.873 33.709
80.000 106.958 33.626
80.580 107.047 33.422
81.164 107.133 33.108
81.752 107.216 32.705
82.344 107.292 32.231
82.941 107.362 31.706
83.542 107.425 31.143
84.147 107.481 30.553
84.757 107.531 29.943
85.371 107.576 29.321
85.990 107.617 28.689
86.613 107.652 28.051
87.241 107.684 27.411
87.873 107.712 26.769
88.510 107.737 26.127
89.151 107.759 25.485
89.797 107.779 24.843
90.448 107.795 24.204
91.103 107.810 23.566
91.763 107.821 22.932
92.428 107.831 22.300
93.098 107.839 21.672
93.773 107.844 21.049
94.452 107.848 20.431
95.137 107.850 19.818
95.826 107.850 19.209
96.520 107.849 18.602
97.220 107.847 17.995
97.924 107.843 17.388
98.634 107.837 16.781
99.349 107.829 16.179
100.069 107.818 15.583
100.794 107.807 14.991
101.524 107.796 14.398
102.260 107.784 13.796
103.001 107.770 13.177
103.747 107.754 12.533
104.499 107.733 11.853
105.256 107.704 11.130
106.019 107.658 10.375
106.787 107.589 9.635
107.561 107.494 9.007
108.340 107.380 8.612
109.126 107.270 8.519
109.916 107.191 8.683
110.713 107.162 8.930
111.515 107.179 9.059
112.323 107.217 8.949
113.137 107.254 8.608
113.957 107.274 8.117
114.783 107.276 7.565
115.614 107.261 7.009
116.452 107.235 6.472
117.296 107.200 5.965
118.146 107.156 5.496
119.002 107.106 5.077
119.865 107.050 4.720
120.733 106.992 4.439
121.608 106.934 4.240
122.489 106.882 4.119
123.377 106.839 4.059
124.271 106.808 4.034
125.171 106.788 4.014
126.078 106.779 3.974
126.992 106.777 3.904
127.912 106.780 3.801
128.839 106.788 3.664
129.773 106.800 3.486
130.713 106.814 3.258
131.660 106.828 2.977
132.615 106.839 2.653
133.575 106.846 2.302
134.543 106.850 1.937
135.518 106.851 1.562
136.500 106.849 1.178
137.490 106.845 0.788
138.486 106.839 0.398
139.489 106.831 0.007
140.500 106.823 -0.389
141.518 106.812 -0.790
142.544 106.799 -1.195
143.577 106.784 -1.603
144.617 106.767 -2.014
145.665 106.746 -2.423
146.721 106.724 -2.824
147.784 106.700 -3.222
148.855 106.675 -3.626
149.933 106.647 -4.034
151.020 106.616 -4.439
152.114 106.583 -4.840
153.217 106.547 -5.245
154.327 106.506 -5.647
155.445 106.460 -6.027
156.572 106.412 -6.373
157.706 106.362 -6.694
158.849 106.310 -6.990
160.000 106.254 -7.241
161.159 106.199 -7.425
162.327 106.151 -7.551
163.504 106.111 -7.654
164.688 106.078 -7.758
165.882 106.049 -7.865
167.084 106.025 -7.962
168.295 106.007 -8.054
169.514 105.998 -8.173
170.742 105.994 -8.355
171.980 105.987 -8.603
173.226 105.973 -8.881
174.481 105.953 -9.151
175.746 105.932 -9.401
177.019 105.912 -9.641
178.302 105.894 -9.889
179.594 105.877 -10.154
180.895 105.861 -10.439
182.206 105.845 -10.749
183.527 105.827 -11.084
184.856 105.805 -11.434
186.196 105.779 -11.778
187.545 105.752 -12.104
188.904 105.727 -12.423
190.273 105.703 -12.757
191.652 105.678 -13.118
193.041 105.647 -13.492
194.440 105.610 -13.843
195.849 105.575 -14.156
197.268 105.545 -14.469
198.697 105.519 -14.829
200.137 105.489 -15.248
201.587 105.450 -15.692
203.048 105.401 -16.109
204.520 105.349 -16.471
206.002 105.302 -16.798
207.494 105.258 -17.125
208.998 105.215 -17.459
210.512 105.173 -17.801
212.038 105.130 -18.154
213.574 105.083 -18.515
215.122 105.032 -18.863
216.681 104.978 -19.180
218.251 104.927 -19.478
219.833 104.880 -19.795
221.426 104.832 -20.156
223.030 104.779 -20.551
224.646 104.719 -20.961
226.274 104.654 -21.370
227.914 104.585 -21.779
229.565 104.512 -22.190
231.229 104.435 -22.588
232.905 104.355 -22.963
234.592 104.276 -23.332
236.292 104.195 -23.708
238.004 104.110 -24.078
239.729 104.021 -24.424
241.466 103.929 -24.740
243.216 103.835 -25.022
244.979 103.738 -25.252
246.754 103.644 -25.423
248.542 103.557 -25.574
250.343 103.471 -25.748
252.157 103.381 -25.944
253.984 103.285 -26.138
255.825 103.183 -26.322
257.678 103.077 -26.482
259.546 102.969 -26.617
261.426 102.862 -26.751
263.321 102.753 -26.892
265.229 102.641 -27.038
267.151 102.527 -27.193
269.087 102.407 -27.345
271.037 102.282 -27.467
273.001 102.155 -27.539
274.979 102.030 -27.562
276.972 101.907 -27.547
278.979 101.786 -27.499
281.000 101.666 -27.408
283.037 101.548 -27.277
285.088 101.431 -27.116
287.153 101.315 -26.921
289.234 101.200 -26.680
291.330 101.087 -26.396
293.441 100.980 -26.083
295.568 100.877 -25.759
297.710 100.779 -25.446
299.867 100.683 -25.165
302.040 100.583 -24.905
304.228 100.478 -24.622
306.433 100.375 -24.289
308.654 100.282 -23.927
310.890 100.201 -23.593
313.143 100.128 -23.332
315.412 100.055 -23.135
317.698 99.983 -22.969
320.000 99.917 -22.846
322.319 99.855 -22.813
324.655 99.788 -22.891
327.007 99.709 -23.050
329.377 99.614 -23.268
331.764 99.499 -23.534
334.168 99.357 -23.820
336.589 99.183 -24.082
339.028 98.973 -24.250
341.485 98.731 -24.223
343.959 98.470 -23.929
346.452 98.207 -23.384
348.962 97.949 -22.645
351.491 97.696 -21.733
354.038 97.448 -20.639
356.604 97.213 -19.359
359.188 96.998 -17.927
361.791 96.805 -16.390
364.412 96.634 -14.781
367.053 96.485 -13.122
369.713 96.357 -11.424
372.392 96.252 -9.704
375.090 96.168 -8.003
377.809 96.096 -6.352
380.546 96.026 -4.706
383.304 95.962 -3.004
386.081 95.908 -1.233
388.879 95.867 0.597
391.697 95.840 2.491
394.536 95.827 4.486
397.395 95.840 6.587
400.274 95.888 8.717
403.175 95.970 10.815
406.096 96.089 12.839
409.039 96.245 14.689
412.003 96.424 16.300
414.989 96.615 17.689
417.996 96.810 18.870
421.025 97.001 19.859
424.076 97.183 20.679
427.149 97.352 21.366
430.244 97.509 21.966
433.362 97.656 22.511
436.502 97.797 23.011
439.665 97.931 23.463
442.851 98.059 23.875
446.060 98.180 24.267
449.293 98.297 24.656
452.548 98.413 25.040
455.828 98.528 25.406
459.131 98.639 25.763
462.458 98.748 26.123
465.809 98.858 26.474
469.184 98.966 26.790
472.584 99.068 27.072
476.009 99.164 27.355
479.458 99.261 27.640
482.933 99.359 27.904
486.432 99.456 28.155
489.957 99.556 28.406
493.507 99.660 28.641
497.084 99.768 28.834
500.686 99.875 28.961
504.314 99.978 29.024
507.968 100.073 29.053
511.649 100.164 29.064
515.357 100.250 29.063
519.091 100.331 29.055
522.853 100.410 29.042
526.642 100.486 29.019
530.458 100.559 28.986
534.302 100.629 28.955
538.174 100.698 28.920
542.074 100.766 28.872
546.002 100.830 28.815
549.958 100.892 28.743
553.943 100.950 28.652
557.958 101.002 28.566
562.001 101.050 28.501
566.073 101.098 28.454
570.175 101.145 28.408
574.307 101.191 28.353
578.469 101.237 28.290
582.660 101.282 28.217
586.883 101.326 28.135
591.135 101.368 28.044
595.419 101.405 27.964
599.734 101.440 27.904
604.080 101.474 27.854
608.457 101.508 27.798
612.866 101.540 27.732
617.307 101.568 27.656
621.780 101.593 27.590
