* Measurement data measured by REW V5.20 Beta 4
* Source: Microphone (E.A.R.S Gain: 18dB  ), no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -9.0 dBFS  With no timing reference
* Dated: Jan 28, 2019 11:06:54 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Audio-Technica M50x R
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.1 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.145 103.481 93.539
20.291 103.532 93.334
20.438 103.583 92.998
20.586 103.658 92.474
20.735 103.776 91.743
20.885 103.894 91.012
21.037 103.996 90.361
21.189 104.093 89.737
21.343 104.185 89.141
21.497 104.272 88.571
21.653 104.358 87.997
21.810 104.445 87.412
21.968 104.530 86.829
22.127 104.613 86.251
22.288 104.695 85.676
22.449 104.774 85.107
22.612 104.852 84.543
22.776 104.928 83.980
22.941 105.003 83.419
23.107 105.076 82.859
23.274 105.148 82.304
23.443 105.218 81.751
23.613 105.287 81.201
23.784 105.355 80.653
23.956 105.422 80.108
24.130 105.487 79.565
24.305 105.552 79.024
24.481 105.616 78.485
24.658 105.679 77.947
24.837 105.741 77.410
25.017 105.803 76.872
25.198 105.864 76.335
25.381 105.925 75.795
25.565 105.985 75.254
25.750 106.044 74.709
25.937 106.104 74.161
26.125 106.162 73.609
26.314 106.220 73.052
26.505 106.277 72.491
26.697 106.333 71.925
26.890 106.389 71.353
27.085 106.443 70.777
27.281 106.497 70.196
27.479 106.550 69.611
27.678 106.601 69.021
27.879 106.652 68.428
28.081 106.701 67.831
28.284 106.749 67.231
28.489 106.797 66.628
28.696 106.843 66.023
28.904 106.888 65.416
29.113 106.932 64.806
29.324 106.976 64.194
29.537 107.018 63.581
29.751 107.059 62.965
29.966 107.100 62.349
30.183 107.139 61.731
30.402 107.178 61.113
30.622 107.215 60.494
30.844 107.252 59.875
31.068 107.287 59.257
31.293 107.322 58.640
31.520 107.356 58.025
31.748 107.389 57.412
31.978 107.422 56.801
32.210 107.454 56.194
32.443 107.486 55.589
32.678 107.517 54.987
32.915 107.549 54.388
33.154 107.580 53.791
33.394 107.612 53.195
33.636 107.645 52.599
33.880 107.678 52.002
34.125 107.711 51.402
34.372 107.744 50.799
34.621 107.778 50.190
34.872 107.812 49.576
35.125 107.847 48.954
35.380 107.881 48.325
35.636 107.915 47.687
35.894 107.948 47.041
36.154 107.981 46.386
36.416 108.013 45.723
36.680 108.044 45.051
36.946 108.074 44.372
37.214 108.103 43.686
37.483 108.130 42.994
37.755 108.156 42.296
38.029 108.180 41.593
38.304 108.203 40.887
38.582 108.224 40.177
38.861 108.244 39.465
39.143 108.262 38.751
39.427 108.279 38.037
39.712 108.294 37.322
40.000 108.308 36.606
40.290 108.321 35.891
40.582 108.332 35.175
40.876 108.343 34.459
41.172 108.352 33.741
41.470 108.360 33.022
41.771 108.367 32.300
42.074 108.373 31.575
42.379 108.378 30.846
42.686 108.382 30.111
42.995 108.384 29.371
43.306 108.384 28.624
43.620 108.383 27.871
43.936 108.379 27.112
44.255 108.373 26.347
44.575 108.364 25.576
44.898 108.352 24.801
45.224 108.337 24.022
45.552 108.318 23.243
45.882 108.295 22.465
46.214 108.268 21.691
46.549 108.237 20.924
46.886 108.202 20.168
47.226 108.163 19.428
47.568 108.119 18.708
47.913 108.072 18.012
48.260 108.022 17.346
48.610 107.969 16.712
48.962 107.916 16.111
49.317 107.862 15.545
49.674 107.810 15.010
50.034 107.760 14.503
50.397 107.712 14.018
50.762 107.668 13.547
51.130 107.629 13.079
51.500 107.593 12.606
51.874 107.560 12.119
52.249 107.529 11.609
52.628 107.499 11.069
53.009 107.469 10.497
53.394 107.436 9.892
53.781 107.399 9.256
54.170 107.356 8.597
54.563 107.307 7.920
54.958 107.250 7.237
55.356 107.186 6.557
55.758 107.114 5.889
56.162 107.034 5.243
56.569 106.948 4.626
56.978 106.856 4.041
57.391 106.758 3.493
57.807 106.656 2.984
58.226 106.550 2.515
58.648 106.439 2.089
59.073 106.326 1.707
59.501 106.209 1.374
59.932 106.089 1.091
60.367 105.966 0.865
60.804 105.842 0.697
61.245 105.717 0.594
61.688 105.592 0.559
62.135 105.467 0.596
62.586 105.345 0.708
63.039 105.226 0.900
63.496 105.114 1.171
63.956 105.008 1.520
64.420 104.913 1.943
64.886 104.830 2.434
65.357 104.761 2.982
65.830 104.709 3.573
66.307 104.674 4.188
66.788 104.659 4.808
67.272 104.663 5.411
67.759 104.686 5.971
68.250 104.728 6.467
68.745 104.787 6.875
69.243 104.860 7.175
69.745 104.945 7.348
70.250 105.039 7.376
70.759 105.137 7.241
71.272 105.235 6.933
71.788 105.328 6.440
72.309 105.410 5.763
72.833 105.472 4.908
73.360 105.508 3.896
73.892 105.512 2.760
74.427 105.476 1.551
74.967 105.396 0.333
75.510 105.269 -0.812
76.057 105.097 -1.796
76.608 104.884 -2.526
77.163 104.641 -2.923
77.723 104.382 -2.926
78.286 104.124 -2.510
78.853 103.885 -1.691
79.424 103.685 -0.528
80.000 103.535 0.883
80.580 103.443 2.432
81.164 103.409 4.005
81.752 103.428 5.507
82.344 103.489 6.867
82.941 103.584 8.042
83.542 103.700 9.015
84.147 103.830 9.788
84.757 103.967 10.375
85.371 104.105 10.795
85.990 104.240 11.072
86.613 104.372 11.228
87.241 104.498 11.282
87.873 104.618 11.249
88.510 104.731 11.143
89.151 104.839 10.974
89.797 104.939 10.754
90.448 105.034 10.491
91.103 105.124 10.191
91.763 105.208 9.854
92.428 105.288 9.482
93.098 105.362 9.079
93.773 105.430 8.650
94.452 105.493 8.202
95.137 105.551 7.742
95.826 105.604 7.277
96.520 105.654 6.806
97.220 105.702 6.326
97.924 105.748 5.831
98.634 105.791 5.318
99.349 105.830 4.789
100.069 105.866 4.248
100.794 105.898 3.699
101.524 105.929 3.137
102.260 105.957 2.555
103.001 105.983 1.945
103.747 106.005 1.300
104.499 106.022 0.612
105.256 106.031 -0.138
106.019 106.027 -0.962
106.787 105.998 -1.850
107.561 105.933 -2.718
108.340 105.828 -3.409
109.126 105.698 -3.742
109.916 105.579 -3.637
110.713 105.515 -3.208
111.515 105.524 -2.739
112.323 105.591 -2.511
113.137 105.681 -2.657
113.957 105.759 -3.135
114.783 105.810 -3.821
115.614 105.831 -4.596
116.452 105.825 -5.387
117.296 105.797 -6.155
118.146 105.748 -6.873
119.002 105.681 -7.516
119.865 105.598 -8.046
120.733 105.504 -8.429
121.608 105.408 -8.636
122.489 105.320 -8.672
123.377 105.251 -8.576
124.271 105.207 -8.419
125.171 105.186 -8.274
126.078 105.182 -8.192
126.992 105.189 -8.188
127.912 105.202 -8.255
128.839 105.218 -8.379
129.773 105.237 -8.566
130.713 105.258 -8.826
131.660 105.276 -9.161
132.615 105.286 -9.551
133.575 105.287 -9.963
134.543 105.281 -10.370
135.518 105.272 -10.762
136.500 105.262 -11.148
137.490 105.251 -11.542
138.486 105.239 -11.952
139.489 105.224 -12.377
140.500 105.206 -12.815
141.518 105.184 -13.263
142.544 105.157 -13.710
143.577 105.127 -14.152
144.617 105.095 -14.590
145.665 105.060 -15.028
146.721 105.021 -15.462
147.784 104.979 -15.882
148.855 104.935 -16.284
149.933 104.891 -16.678
151.020 104.846 -17.074
152.114 104.797 -17.470
153.217 104.745 -17.852
154.327 104.690 -18.213
155.445 104.634 -18.556
156.572 104.577 -18.886
157.706 104.518 -19.205
158.849 104.456 -19.505
160.000 104.393 -19.778
161.159 104.330 -20.022
162.327 104.268 -20.246
163.504 104.209 -20.457
164.688 104.150 -20.661
165.882 104.093 -20.858
167.084 104.038 -21.051
168.295 103.984 -21.240
169.514 103.933 -21.433
170.742 103.884 -21.637
171.980 103.836 -21.861
173.226 103.786 -22.101
174.481 103.735 -22.351
175.746 103.682 -22.611
177.019 103.627 -22.881
178.302 103.568 -23.156
179.594 103.506 -23.424
180.895 103.441 -23.683
182.206 103.374 -23.933
183.527 103.304 -24.170
184.856 103.232 -24.388
186.196 103.159 -24.584
187.545 103.087 -24.759
188.904 103.017 -24.923
190.273 102.949 -25.094
191.652 102.880 -25.274
193.041 102.807 -25.447
194.440 102.734 -25.600
195.849 102.661 -25.739
197.268 102.588 -25.868
198.697 102.517 -25.992
200.137 102.448 -26.127
201.587 102.378 -26.286
203.048 102.304 -26.460
204.520 102.227 -26.631
206.002 102.149 -26.797
207.494 102.070 -26.965
208.998 101.990 -27.143
210.512 101.908 -27.330
212.038 101.822 -27.523
213.574 101.730 -27.712
215.122 101.634 -27.875
216.681 101.537 -28.012
218.251 101.440 -28.154
219.833 101.337 -28.310
221.426 101.225 -28.439
223.030 101.109 -28.518
224.646 100.995 -28.567
226.274 100.880 -28.615
227.914 100.760 -28.656
229.565 100.637 -28.668
231.229 100.510 -28.647
232.905 100.380 -28.590
234.592 100.250 -28.497
236.292 100.119 -28.383
238.004 99.984 -28.254
239.729 99.843 -28.076
241.466 99.702 -27.818
243.216 99.567 -27.499
244.979 99.440 -27.165
246.754 99.316 -26.843
248.542 99.187 -26.543
250.343 99.045 -26.189
252.157 98.902 -25.711
253.984 98.770 -25.165
255.825 98.644 -24.613
257.678 98.517 -24.027
259.546 98.390 -23.363
261.426 98.271 -22.613
263.321 98.164 -21.806
265.229 98.069 -20.972
267.151 97.988 -20.140
269.087 97.919 -19.329
271.037 97.861 -18.572
273.001 97.810 -17.909
274.979 97.758 -17.338
276.972 97.699 -16.834
278.979 97.633 -16.387
281.000 97.556 -15.991
283.037 97.462 -15.620
285.088 97.348 -15.232
287.153 97.214 -14.771
289.234 97.063 -14.184
291.330 96.897 -13.430
293.441 96.724 -12.438
295.568 96.558 -11.161
297.710 96.420 -9.663
299.867 96.313 -8.049
302.040 96.235 -6.364
304.228 96.185 -4.626
306.433 96.168 -2.887
308.654 96.180 -1.214
310.890 96.213 0.368
313.143 96.262 1.874
315.412 96.328 3.297
317.698 96.406 4.621
320.000 96.493 5.855
322.319 96.588 7.003
324.655 96.689 8.053
327.007 96.792 9.016
329.377 96.895 9.905
331.764 96.997 10.729
334.168 97.099 11.498
336.589 97.202 12.211
339.028 97.303 12.866
341.485 97.403 13.476
343.959 97.501 14.055
346.452 97.601 14.597
348.962 97.700 15.089
351.491 97.797 15.540
354.038 97.893 15.958
356.604 97.986 16.338
359.188 98.075 16.681
361.791 98.160 16.997
364.412 98.241 17.298
367.053 98.320 17.591
369.713 98.399 17.875
372.392 98.478 18.130
375.090 98.554 18.350
377.809 98.625 18.562
380.546 98.693 18.783
383.304 98.761 19.007
386.081 98.830 19.219
388.879 98.899 19.410
391.697 98.965 19.584
394.536 99.030 19.748
397.395 99.094 19.904
400.274 99.158 20.037
403.175 99.219 20.143
406.096 99.274 20.249
409.039 99.326 20.372
412.003 99.381 20.506
414.989 99.441 20.598
417.996 99.496 20.633
421.025 99.545 20.662
424.076 99.591 20.705
427.149 99.635 20.759
430.244 99.678 20.821
433.362 99.721 20.890
436.502 99.764 20.959
439.665 99.806 21.017
442.851 99.845 21.063
446.060 99.882 21.107
449.293 99.916 21.157
452.548 99.949 21.212
455.828 99.982 21.267
459.131 100.013 21.321
462.458 100.042 21.384
465.809 100.070 21.464
469.184 100.101 21.560
472.584 100.135 21.658
476.009 100.172 21.735
479.458 100.209 21.778
482.933 100.242 21.794
486.432 100.269 21.805
489.957 100.291 21.844
493.507 100.312 21.921
497.084 100.335 22.027
500.686 100.365 22.146
504.314 100.402 22.240
507.968 100.441 22.270
511.649 100.475 22.247
515.357 100.501 22.214
519.091 100.522 22.195
522.853 100.540 22.192
526.642 100.556 22.206
530.458 100.572 22.235
534.302 100.589 22.272
538.174 100.605 22.312
542.074 100.621 22.354
546.002 100.636 22.401
549.958 100.650 22.456
553.943 100.666 22.517
557.958 100.682 22.577
562.001 100.698 22.637
566.073 100.714 22.698
570.175 100.731 22.760
574.307 100.748 22.818
578.469 100.765 22.865
582.660 100.780 22.905
586.883 100.794 22.943
591.135 100.806 22.983
595.419 100.819 23.020
599.734 100.829 23.056
604.080 100.839 23.102
608.457 100.848 23.163
612.866 100.858 23.226
