* Measurement data measured by REW V5.20 Beta 4
* Source: Microphone (E.A.R.S Gain: 18dB  ), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -7.0 dBFS  With no timing reference
* Dated: Jan 28, 2019 11:22:17 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: B&O BEOPLAY H8 L
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.1 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.145 80.985 -29.070
20.291 81.053 -29.242
20.438 81.122 -29.525
20.586 81.221 -29.968
20.735 81.379 -30.587
20.885 81.536 -31.208
21.037 81.675 -31.764
21.189 81.807 -32.301
21.343 81.933 -32.817
21.497 82.054 -33.314
21.653 82.175 -33.816
21.810 82.297 -34.329
21.968 82.417 -34.843
22.127 82.536 -35.354
22.288 82.653 -35.865
22.449 82.768 -36.373
22.612 82.882 -36.880
22.776 82.994 -37.388
22.941 83.105 -37.898
23.107 83.214 -38.409
23.274 83.321 -38.919
23.443 83.427 -39.430
23.613 83.531 -39.942
23.784 83.633 -40.453
23.956 83.734 -40.964
24.130 83.832 -41.474
24.305 83.929 -41.982
24.481 84.024 -42.487
24.658 84.117 -42.989
24.837 84.208 -43.487
25.017 84.297 -43.978
25.198 84.385 -44.462
25.381 84.471 -44.938
25.565 84.556 -45.405
25.750 84.639 -45.860
25.937 84.722 -46.304
26.125 84.805 -46.735
26.314 84.887 -47.153
26.505 84.969 -47.559
26.697 85.052 -47.953
26.890 85.137 -48.336
27.085 85.223 -48.711
27.281 85.310 -49.081
27.479 85.400 -49.447
27.678 85.492 -49.814
27.879 85.586 -50.185
28.081 85.682 -50.564
28.284 85.779 -50.954
28.489 85.878 -51.357
28.696 85.978 -51.776
28.904 86.078 -52.211
29.113 86.179 -52.664
29.324 86.278 -53.134
29.537 86.377 -53.620
29.751 86.474 -54.119
29.966 86.570 -54.631
30.183 86.663 -55.153
30.402 86.755 -55.682
30.622 86.845 -56.217
30.844 86.933 -56.756
31.068 87.019 -57.298
31.293 87.103 -57.841
31.520 87.186 -58.385
31.748 87.267 -58.930
31.978 87.347 -59.476
32.210 87.424 -60.023
32.443 87.501 -60.571
32.678 87.575 -61.118
32.915 87.647 -61.665
33.154 87.717 -62.210
33.394 87.785 -62.750
33.636 87.850 -63.285
33.880 87.913 -63.810
34.125 87.974 -64.323
34.372 88.033 -64.823
34.621 88.090 -65.306
34.872 88.146 -65.771
35.125 88.201 -66.216
35.380 88.256 -66.642
35.636 88.311 -67.050
35.894 88.367 -67.440
36.154 88.425 -67.815
36.416 88.483 -68.177
36.680 88.544 -68.529
36.946 88.606 -68.875
37.214 88.669 -69.216
37.483 88.735 -69.556
37.755 88.801 -69.897
38.029 88.869 -70.241
38.304 88.938 -70.589
38.582 89.007 -70.944
38.861 89.076 -71.305
39.143 89.146 -71.672
39.427 89.214 -72.046
39.712 89.282 -72.425
40.000 89.348 -72.807
40.290 89.413 -73.190
40.582 89.477 -73.572
40.876 89.539 -73.951
41.172 89.600 -74.324
41.470 89.660 -74.690
41.771 89.719 -75.048
42.074 89.777 -75.397
42.379 89.836 -75.739
42.686 89.895 -76.075
42.995 89.955 -76.408
43.306 90.015 -76.740
43.620 90.075 -77.076
43.936 90.135 -77.416
44.255 90.194 -77.763
44.575 90.252 -78.116
44.898 90.307 -78.471
45.224 90.360 -78.822
45.552 90.410 -79.161
45.882 90.457 -79.477
46.214 90.504 -79.762
46.549 90.551 -80.009
46.886 90.603 -80.218
47.226 90.661 -80.398
47.568 90.728 -80.566
47.913 90.805 -80.748
48.260 90.892 -80.970
48.610 90.985 -81.257
48.962 91.082 -81.626
49.317 91.176 -82.078
49.674 91.265 -82.606
50.034 91.345 -83.188
50.397 91.414 -83.798
50.762 91.472 -84.407
51.130 91.522 -84.993
51.500 91.567 -85.543
51.874 91.609 -86.054
52.249 91.652 -86.533
52.628 91.696 -86.991
53.009 91.743 -87.440
53.394 91.791 -87.889
53.781 91.841 -88.344
54.170 91.890 -88.807
54.563 91.939 -89.277
54.958 91.988 -89.750
55.356 92.035 -90.227
55.758 92.081 -90.705
56.162 92.125 -91.183
56.569 92.167 -91.659
56.978 92.208 -92.129
57.391 92.246 -92.587
57.807 92.283 -93.027
58.226 92.318 -93.447
58.648 92.354 -93.846
59.073 92.392 -94.227
59.501 92.430 -94.594
59.932 92.471 -94.952
60.367 92.512 -95.307
60.804 92.555 -95.659
61.245 92.598 -96.009
61.688 92.642 -96.357
62.135 92.685 -96.699
62.586 92.729 -97.037
63.039 92.774 -97.370
63.496 92.819 -97.702
63.956 92.865 -98.035
64.420 92.911 -98.370
64.886 92.956 -98.706
65.357 93.000 -99.040
65.830 93.044 -99.366
66.307 93.086 -99.680
66.788 93.130 -99.977
67.272 93.175 -100.258
67.759 93.224 -100.533
68.250 93.277 -100.813
68.745 93.334 -101.117
69.243 93.392 -101.458
69.745 93.449 -101.837
70.250 93.500 -102.245
70.759 93.545 -102.663
71.272 93.584 -103.068
71.788 93.618 -103.443
72.309 93.651 -103.781
72.833 93.686 -104.087
73.360 93.724 -104.374
73.892 93.765 -104.655
74.427 93.809 -104.941
74.967 93.854 -105.239
75.510 93.900 -105.549
76.057 93.945 -105.870
76.608 93.989 -106.195
77.163 94.032 -106.522
77.723 94.075 -106.846
78.286 94.117 -107.166
78.853 94.159 -107.484
79.424 94.201 -107.803
80.000 94.244 -108.125
80.580 94.286 -108.451
81.164 94.328 -108.781
81.752 94.369 -109.112
82.344 94.409 -109.445
82.941 94.449 -109.777
83.542 94.488 -110.113
84.147 94.527 -110.454
84.757 94.563 -110.803
85.371 94.597 -111.153
85.990 94.628 -111.495
86.613 94.657 -111.820
87.241 94.685 -112.123
87.873 94.714 -112.406
88.510 94.744 -112.678
89.151 94.775 -112.945
89.797 94.807 -113.203
90.448 94.840 -113.445
91.103 94.876 -113.662
91.763 94.918 -113.867
92.428 94.970 -114.086
93.098 95.028 -114.354
93.773 95.088 -114.694
94.452 95.144 -115.100
95.137 95.192 -115.542
95.826 95.231 -115.988
96.520 95.264 -116.410
97.220 95.293 -116.799
97.924 95.322 -117.152
98.634 95.351 -117.471
99.349 95.384 -117.761
100.069 95.422 -118.035
100.794 95.467 -118.312
101.524 95.517 -118.617
102.260 95.570 -118.964
103.001 95.621 -119.356
103.747 95.667 -119.780
104.499 95.708 -120.218
105.256 95.743 -120.649
106.019 95.774 -121.061
106.787 95.804 -121.452
107.561 95.832 -121.829
108.340 95.860 -122.193
109.126 95.886 -122.540
109.916 95.911 -122.862
110.713 95.938 -123.161
111.515 95.966 -123.446
112.323 95.997 -123.730
113.137 96.028 -124.013
113.957 96.060 -124.294
114.783 96.092 -124.568
115.614 96.125 -124.842
116.452 96.160 -125.123
117.296 96.195 -125.415
118.146 96.229 -125.719
119.002 96.263 -126.033
119.865 96.294 -126.354
120.733 96.324 -126.676
121.608 96.352 -126.995
122.489 96.379 -127.307
123.377 96.407 -127.614
124.271 96.435 -127.922
125.171 96.464 -128.243
126.078 96.492 -128.584
126.992 96.515 -128.934
127.912 96.533 -129.269
128.839 96.551 -129.570
129.773 96.573 -129.850
130.713 96.602 -130.155
131.660 96.631 -130.516
132.615 96.655 -130.930
133.575 96.671 -131.363
134.543 96.678 -131.784
135.518 96.679 -132.164
136.500 96.680 -132.485
137.490 96.686 -132.748
138.486 96.702 -132.984
139.489 96.730 -133.236
140.500 96.765 -133.533
141.518 96.803 -133.881
142.544 96.839 -134.266
143.577 96.873 -134.676
144.617 96.902 -135.097
145.665 96.925 -135.508
146.721 96.945 -135.887
147.784 96.963 -136.231
148.855 96.983 -136.555
149.933 97.003 -136.874
151.020 97.022 -137.187
152.114 97.040 -137.495
153.217 97.059 -137.810
154.327 97.077 -138.148
155.445 97.088 -138.497
156.572 97.094 -138.824
157.706 97.101 -139.116
158.849 97.110 -139.395
160.000 97.122 -139.683
161.159 97.135 -139.980
162.327 97.150 -140.289
163.504 97.164 -140.629
164.688 97.174 -141.003
165.882 97.175 -141.381
167.084 97.170 -141.722
168.295 97.164 -142.009
169.514 97.165 -142.273
170.742 97.170 -142.564
171.980 97.173 -142.901
173.226 97.169 -143.246
174.481 97.160 -143.551
175.746 97.153 -143.805
177.019 97.154 -144.046
178.302 97.161 -144.323
179.594 97.167 -144.648
180.895 97.166 -144.988
182.206 97.161 -145.311
183.527 97.157 -145.608
184.856 97.156 -145.903
186.196 97.156 -146.218
187.545 97.155 -146.555
188.904 97.150 -146.902
190.273 97.139 -147.237
191.652 97.125 -147.536
193.041 97.113 -147.798
194.440 97.103 -148.046
195.849 97.096 -148.292
197.268 97.090 -148.550
198.697 97.083 -148.830
200.137 97.071 -149.122
201.587 97.054 -149.410
203.048 97.031 -149.674
204.520 97.006 -149.882
206.002 96.988 -150.042
207.494 96.979 -150.229
208.998 96.968 -150.476
210.512 96.949 -150.734
212.038 96.926 -150.959
213.574 96.904 -151.166
215.122 96.882 -151.384
216.681 96.855 -151.606
218.251 96.825 -151.801
219.833 96.795 -151.966
221.426 96.766 -152.126
223.030 96.736 -152.295
224.646 96.701 -152.458
226.274 96.663 -152.592
227.914 96.624 -152.694
229.565 96.585 -152.765
231.229 96.547 -152.799
232.905 96.515 -152.800
234.592 96.490 -152.803
236.292 96.468 -152.834
238.004 96.441 -152.863
239.729 96.413 -152.848
241.466 96.390 -152.788
243.216 96.371 -152.705
244.979 96.358 -152.609
246.754 96.350 -152.508
248.542 96.345 -152.415
250.343 96.342 -152.329
252.157 96.341 -152.244
253.984 96.342 -152.180
255.825 96.342 -152.133
257.678 96.344 -152.092
259.546 96.348 -152.080
261.426 96.351 -152.084
263.321 96.355 -152.088
265.229 96.362 -152.128
267.151 96.364 -152.208
269.087 96.359 -152.277
271.037 96.351 -152.308
273.001 96.346 -152.297
274.979 96.350 -152.271
276.972 96.358 -152.278
278.979 96.366 -152.307
281.000 96.373 -152.326
283.037 96.385 -152.350
285.088 96.400 -152.417
287.153 96.413 -152.533
289.234 96.421 -152.668
291.330 96.424 -152.802
293.441 96.424 -152.927
295.568 96.423 -153.034
297.710 96.424 -153.110
299.867 96.433 -153.208
302.040 96.444 -153.380
304.228 96.447 -153.584
306.433 96.446 -153.787
308.654 96.442 -153.993
310.890 96.434 -154.197
313.143 96.421 -154.395
315.412 96.405 -154.585
317.698 96.387 -154.762
320.000 96.373 -154.954
322.319 96.357 -155.192
324.655 96.335 -155.461
327.007 96.304 -155.718
329.377 96.267 -155.930
331.764 96.228 -156.092
334.168 96.186 -156.222
336.589 96.140 -156.311
339.028 96.091 -156.338
341.485 96.045 -156.318
343.959 96.006 -156.280
346.452 95.973 -156.278
348.962 95.938 -156.331
351.491 95.899 -156.398
354.038 95.858 -156.449
356.604 95.818 -156.488
359.188 95.777 -156.517
361.791 95.736 -156.530
364.412 95.694 -156.529
367.053 95.651 -156.529
369.713 95.602 -156.519
372.392 95.551 -156.471
375.090 95.504 -156.391
377.809 95.463 -156.337
380.546 95.417 -156.330
383.304 95.361 -156.312
386.081 95.303 -156.239
388.879 95.250 -156.129
391.697 95.202 -156.013
394.536 95.155 -155.905
397.395 95.106 -155.800
400.274 95.048 -155.672
403.175 94.985 -155.425
406.096 94.935 -155.071
409.039 94.900 -154.750
412.003 94.862 -154.584
414.989 94.791 -154.462
417.996 94.703 -154.208
421.025 94.620 -153.849
424.076 94.550 -153.437
427.149 94.494 -153.000
430.244 94.448 -152.548
433.362 94.412 -152.094
436.502 94.378 -151.660
439.665 94.343 -151.232
442.851 94.306 -150.800
446.060 94.271 -150.382
449.293 94.236 -149.978
452.548 94.204 -149.582
455.828 94.174 -149.202
459.131 94.142 -148.823
462.458 94.110 -148.444
465.809 94.072 -148.089
469.184 94.026 -147.698
472.584 93.980 -147.265
476.009 93.931 -146.821
479.458 93.878 -146.347
482.933 93.822 -145.841
486.432 93.760 -145.301
489.957 93.691 -144.694
493.507 93.620 -143.993
497.084 93.549 -143.194
500.686 93.481 -142.277
504.314 93.422 -141.218
507.968 93.382 -140.025
511.649 93.369 -138.732
515.357 93.392 -137.417
