* Measurement data measured by REW V5.20 Beta 4
* Source: Microphone (E.A.R.S Gain: 18dB  ), no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -8.0 dBFS  With no timing reference
* Dated: Jan 28, 2019 11:21:24 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: B&O BEOPLAY H8 R
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.1 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.145 84.796 -44.197
20.291 84.853 -44.358
20.438 84.910 -44.622
20.586 84.993 -45.032
20.735 85.126 -45.604
20.885 85.258 -46.175
21.037 85.376 -46.681
21.189 85.489 -47.165
21.343 85.598 -47.626
21.497 85.703 -48.065
21.653 85.809 -48.507
21.810 85.917 -48.956
21.968 86.024 -49.404
22.127 86.131 -49.848
22.288 86.237 -50.290
22.449 86.342 -50.729
22.612 86.447 -51.167
22.776 86.552 -51.607
22.941 86.657 -52.051
23.107 86.761 -52.499
23.274 86.865 -52.949
23.443 86.968 -53.405
23.613 87.070 -53.866
23.784 87.172 -54.333
23.956 87.272 -54.807
24.130 87.371 -55.288
24.305 87.469 -55.775
24.481 87.565 -56.268
24.658 87.660 -56.766
24.837 87.752 -57.270
25.017 87.843 -57.777
25.198 87.932 -58.287
25.381 88.018 -58.799
25.565 88.102 -59.311
25.750 88.184 -59.821
25.937 88.264 -60.329
26.125 88.342 -60.832
26.314 88.418 -61.331
26.505 88.492 -61.822
26.697 88.564 -62.305
26.890 88.635 -62.779
27.085 88.705 -63.245
27.281 88.773 -63.700
27.479 88.841 -64.147
27.678 88.909 -64.584
27.879 88.976 -65.012
28.081 89.043 -65.433
28.284 89.110 -65.846
28.489 89.178 -66.254
28.696 89.245 -66.656
28.904 89.312 -67.053
29.113 89.380 -67.446
29.324 89.448 -67.835
29.537 89.516 -68.222
29.751 89.584 -68.605
29.966 89.653 -68.985
30.183 89.722 -69.363
30.402 89.792 -69.739
30.622 89.862 -70.114
30.844 89.932 -70.489
31.068 90.004 -70.864
31.293 90.076 -71.242
31.520 90.149 -71.625
31.748 90.222 -72.012
31.978 90.296 -72.408
32.210 90.370 -72.811
32.443 90.444 -73.224
32.678 90.517 -73.647
32.915 90.589 -74.078
33.154 90.660 -74.517
33.394 90.730 -74.962
33.636 90.798 -75.412
33.880 90.865 -75.864
34.125 90.930 -76.317
34.372 90.993 -76.768
34.621 91.055 -77.215
34.872 91.117 -77.660
35.125 91.177 -78.100
35.380 91.237 -78.538
35.636 91.297 -78.974
35.894 91.356 -79.410
36.154 91.415 -79.847
36.416 91.473 -80.286
36.680 91.530 -80.729
36.946 91.586 -81.174
37.214 91.641 -81.620
37.483 91.693 -82.065
37.755 91.744 -82.505
38.029 91.792 -82.936
38.304 91.840 -83.356
38.582 91.886 -83.760
38.861 91.931 -84.147
39.143 91.977 -84.516
39.427 92.024 -84.868
39.712 92.073 -85.205
40.000 92.125 -85.533
40.290 92.180 -85.857
40.582 92.238 -86.183
40.876 92.299 -86.519
41.172 92.362 -86.872
41.470 92.427 -87.247
41.771 92.492 -87.648
42.074 92.555 -88.076
42.379 92.616 -88.528
42.686 92.673 -88.996
42.995 92.724 -89.470
43.306 92.771 -89.936
43.620 92.812 -90.382
43.936 92.849 -90.793
44.255 92.885 -91.159
44.575 92.922 -91.477
44.898 92.964 -91.754
45.224 93.012 -92.003
45.552 93.069 -92.244
45.882 93.134 -92.502
46.214 93.207 -92.801
46.549 93.283 -93.159
46.886 93.358 -93.585
47.226 93.429 -94.076
47.568 93.490 -94.615
47.913 93.541 -95.176
48.260 93.579 -95.729
48.610 93.607 -96.245
48.962 93.626 -96.698
49.317 93.641 -97.074
49.674 93.656 -97.370
50.034 93.675 -97.592
50.397 93.701 -97.757
50.762 93.737 -97.888
51.130 93.782 -98.006
51.500 93.836 -98.133
51.874 93.897 -98.283
52.249 93.963 -98.466
52.628 94.032 -98.686
53.009 94.102 -98.942
53.394 94.173 -99.229
53.781 94.242 -99.544
54.170 94.309 -99.882
54.563 94.375 -100.238
54.958 94.438 -100.610
55.356 94.499 -100.996
55.758 94.557 -101.392
56.162 94.611 -101.795
56.569 94.662 -102.197
56.978 94.710 -102.592
57.391 94.754 -102.975
57.807 94.797 -103.340
58.226 94.839 -103.688
58.648 94.881 -104.020
59.073 94.924 -104.341
59.501 94.967 -104.653
59.932 95.010 -104.961
60.367 95.054 -105.267
60.804 95.098 -105.571
61.245 95.142 -105.874
61.688 95.185 -106.174
62.135 95.226 -106.468
62.586 95.267 -106.756
63.039 95.307 -107.032
63.496 95.347 -107.295
63.956 95.387 -107.543
64.420 95.427 -107.776
64.886 95.469 -107.996
65.357 95.514 -108.206
65.830 95.560 -108.412
66.307 95.609 -108.617
66.788 95.660 -108.825
67.272 95.714 -109.041
67.759 95.770 -109.271
68.250 95.828 -109.520
68.745 95.887 -109.795
69.243 95.947 -110.102
69.745 96.005 -110.442
70.250 96.059 -110.813
70.759 96.109 -111.204
71.272 96.153 -111.604
71.788 96.192 -111.999
72.309 96.228 -112.378
72.833 96.261 -112.736
73.360 96.293 -113.073
73.892 96.327 -113.392
74.427 96.362 -113.701
74.967 96.398 -114.006
75.510 96.437 -114.312
76.057 96.477 -114.623
76.608 96.518 -114.944
77.163 96.559 -115.275
77.723 96.601 -115.619
78.286 96.641 -115.972
78.853 96.679 -116.330
79.424 96.715 -116.687
80.000 96.750 -117.037
80.580 96.783 -117.376
81.164 96.816 -117.702
81.752 96.850 -118.014
82.344 96.885 -118.317
82.941 96.922 -118.614
83.542 96.961 -118.912
84.147 97.002 -119.217
84.757 97.044 -119.537
85.371 97.087 -119.872
85.990 97.128 -120.221
86.613 97.169 -120.581
87.241 97.209 -120.948
87.873 97.247 -121.322
88.510 97.284 -121.703
89.151 97.318 -122.088
89.797 97.349 -122.469
90.448 97.377 -122.833
91.103 97.403 -123.169
91.763 97.430 -123.472
92.428 97.459 -123.748
93.098 97.493 -124.008
93.773 97.531 -124.267
94.452 97.572 -124.539
95.137 97.615 -124.828
95.826 97.658 -125.134
96.520 97.699 -125.452
97.220 97.738 -125.776
97.924 97.776 -126.099
98.634 97.812 -126.417
99.349 97.847 -126.732
100.069 97.883 -127.046
100.794 97.917 -127.358
101.524 97.950 -127.666
102.260 97.983 -127.962
103.001 98.018 -128.248
103.747 98.057 -128.533
104.499 98.099 -128.837
105.256 98.143 -129.179
106.019 98.185 -129.565
106.787 98.221 -129.986
107.561 98.249 -130.417
108.340 98.269 -130.825
109.126 98.285 -131.187
109.916 98.301 -131.496
110.713 98.321 -131.767
111.515 98.348 -132.030
112.323 98.380 -132.314
113.137 98.413 -132.631
113.957 98.443 -132.974
114.783 98.470 -133.323
115.614 98.494 -133.662
116.452 98.518 -133.984
117.296 98.542 -134.295
118.146 98.569 -134.606
119.002 98.597 -134.921
119.865 98.625 -135.242
120.733 98.654 -135.569
121.608 98.682 -135.902
122.489 98.710 -136.241
123.377 98.737 -136.582
124.271 98.762 -136.919
125.171 98.788 -137.251
126.078 98.815 -137.583
126.992 98.842 -137.926
127.912 98.869 -138.289
128.839 98.894 -138.671
129.773 98.916 -139.062
130.713 98.935 -139.451
131.660 98.952 -139.832
132.615 98.969 -140.210
133.575 98.986 -140.589
134.543 99.003 -140.966
135.518 99.021 -141.346
136.500 99.039 -141.737
137.490 99.057 -142.143
138.486 99.072 -142.555
139.489 99.085 -142.961
140.500 99.097 -143.356
141.518 99.109 -143.742
142.544 99.121 -144.124
143.577 99.133 -144.506
144.617 99.145 -144.893
145.665 99.156 -145.286
146.721 99.166 -145.684
147.784 99.174 -146.086
148.855 99.180 -146.483
149.933 99.185 -146.876
151.020 99.191 -147.273
152.114 99.195 -147.687
153.217 99.196 -148.112
154.327 99.192 -148.525
155.445 99.185 -148.915
156.572 99.179 -149.282
157.706 99.173 -149.639
158.849 99.168 -149.994
160.000 99.162 -150.350
161.159 99.155 -150.708
162.327 99.147 -151.067
163.504 99.135 -151.423
164.688 99.120 -151.760
165.882 99.106 -152.068
167.084 99.096 -152.371
168.295 99.087 -152.705
169.514 99.072 -153.064
170.742 99.051 -153.407
171.980 99.027 -153.703
173.226 99.006 -153.966
174.481 98.990 -154.233
175.746 98.974 -154.520
177.019 98.954 -154.810
178.302 98.931 -155.070
179.594 98.911 -155.300
180.895 98.895 -155.530
182.206 98.882 -155.796
183.527 98.862 -156.090
184.856 98.835 -156.363
186.196 98.806 -156.575
187.545 98.784 -156.741
188.904 98.768 -156.910
190.273 98.756 -157.105
191.652 98.744 -157.322
193.041 98.730 -157.554
194.440 98.710 -157.792
195.849 98.685 -158.001
197.268 98.658 -158.148
198.697 98.637 -158.247
200.137 98.625 -158.354
201.587 98.615 -158.505
203.048 98.601 -158.683
204.520 98.582 -158.851
206.002 98.562 -158.996
207.494 98.543 -159.128
208.998 98.525 -159.246
210.512 98.511 -159.355
212.038 98.500 -159.475
213.574 98.491 -159.621
215.122 98.481 -159.781
216.681 98.469 -159.943
218.251 98.456 -160.113
219.833 98.440 -160.290
221.426 98.419 -160.440
223.030 98.398 -160.557
224.646 98.379 -160.663
226.274 98.361 -160.764
227.914 98.342 -160.858
229.565 98.325 -160.955
231.229 98.306 -161.058
232.905 98.285 -161.150
234.592 98.265 -161.224
236.292 98.245 -161.299
238.004 98.224 -161.376
239.729 98.201 -161.420
241.466 98.186 -161.432
243.216 98.179 -161.485
244.979 98.171 -161.605
246.754 98.157 -161.751
248.542 98.140 -161.896
250.343 98.120 -162.027
252.157 98.100 -162.151
253.984 98.077 -162.248
255.825 98.059 -162.299
257.678 98.048 -162.342
259.546 98.043 -162.411
261.426 98.039 -162.504
263.321 98.035 -162.627
265.229 98.025 -162.758
267.151 98.013 -162.852
269.087 98.005 -162.930
271.037 97.999 -163.036
273.001 97.991 -163.172
274.979 97.976 -163.309
276.972 97.961 -163.425
278.979 97.947 -163.535
281.000 97.935 -163.657
283.037 97.923 -163.793
285.088 97.909 -163.927
287.153 97.898 -164.073
289.234 97.885 -164.251
291.330 97.866 -164.437
293.441 97.844 -164.598
295.568 97.825 -164.742
297.710 97.808 -164.891
299.867 97.794 -165.067
302.040 97.779 -165.294
304.228 97.757 -165.557
306.433 97.728 -165.833
308.654 97.696 -166.115
310.890 97.660 -166.406
313.143 97.620 -166.716
315.412 97.571 -167.033
317.698 97.511 -167.308
320.000 97.446 -167.513
322.319 97.379 -167.667
324.655 97.309 -167.777
327.007 97.240 -167.848
329.377 97.171 -167.909
331.764 97.095 -167.936
334.168 97.020 -167.893
336.589 96.949 -167.800
339.028 96.887 -167.692
341.485 96.829 -167.607
343.959 96.771 -167.526
346.452 96.717 -167.455
348.962 96.663 -167.402
351.491 96.607 -167.344
354.038 96.550 -167.278
356.604 96.491 -167.201
359.188 96.432 -167.101
361.791 96.374 -166.998
364.412 96.313 -166.894
367.053 96.248 -166.765
369.713 96.180 -166.593
372.392 96.117 -166.376
375.090 96.064 -166.163
377.809 96.014 -166.026
380.546 95.954 -165.924
383.304 95.888 -165.782
386.081 95.821 -165.592
388.879 95.757 -165.388
391.697 95.693 -165.224
394.536 95.616 -165.076
397.395 95.530 -164.857
400.274 95.449 -164.571
403.175 95.374 -164.302
406.096 95.292 -164.057
409.039 95.199 -163.710
412.003 95.117 -163.211
414.989 95.055 -162.698
417.996 94.993 -162.211
421.025 94.926 -161.678
424.076 94.860 -161.094
427.149 94.799 -160.463
430.244 94.749 -159.823
433.362 94.706 -159.206
436.502 94.666 -158.619
439.665 94.626 -158.035
442.851 94.588 -157.436
446.060 94.554 -156.847
449.293 94.520 -156.259
452.548 94.487 -155.654
455.828 94.457 -155.040
459.131 94.428 -154.420
462.458 94.400 -153.790
465.809 94.373 -153.151
469.184 94.346 -152.482
472.584 94.324 -151.786
476.009 94.305 -151.085
479.458 94.290 -150.393
482.933 94.275 -149.722
486.432 94.260 -149.041
489.957 94.250 -148.318
493.507 94.250 -147.602
497.084 94.253 -146.921
500.686 94.254 -146.249
504.314 94.256 -145.581
507.968 94.260 -144.908
511.649 94.268 -144.213
515.357 94.282 -143.507
