*	Measurement	data	measured	by	REW	V5.20	Beta	4						
*	Source:	Microphone	(E.A.R.S	Gain:	18dB	),	no	input	selected,	R,	volume:	no	control	
*	Format:	256k	Log	Swept	Sine,	1	sweep	at	-5	dBFS	With	no	timing	reference
*	Dated:	Jan	28,	2019	11.30.49	AM								
*	REW	Settings:												
*	C-weighting	compensation:	Off											
*	Target	level:	75	dB										
*	Note:	";"												
*	Measurement:	Bose	QC	35	II	R								
*	Smoothing:	Jan/48	octave											
*	Frequency	Step:	Jan/96	octave										
*	Start	Frequency:	20,1	Hz										
*														
*	Freq(Hz)	SPL(dB)	Phase(degrees)											
20,145	90,394	172,456												
20,291	90,47	172,148												
20,438	90,547	171,643												
20,586	90,658	170,854												
20,735	90,833	169,75												
20,885	91,006	168,643												
21,037	91,158	167,652												
21,189	91,302	166,697												
21,343	91,44	165,78												
21,497	91,57	164,9												
21,653	91,701	164,011												
21,81	91,832	163,104												
21,968	91,961	162,197												
22,127	92,088	161,297												
22,288	92,213	160,4												
22,449	92,336	159,508												
22,612	92,457	158,622												
22,776	92,576	157,734												
22,941	92,694	156,845												
23,107	92,81	155,955												
23,274	92,924	155,067												
23,443	93,036	154,177												
23,613	93,147	153,287												
23,784	93,255	152,395												
23,956	93,362	151,502												
24,13	93,466	150,607												
24,305	93,569	149,712												
24,481	93,67	148,815												
24,658	93,768	147,918												
24,837	93,865	147,021												
25,017	93,959	146,124												
25,198	94,052	145,227												
25,381	94,142	144,332												
25,565	94,23	143,438												
25,75	94,317	142,546												
25,937	94,401	141,656												
26,125	94,484	140,769												
26,314	94,565	139,884												
26,505	94,645	139,001												
26,697	94,722	138,122												
26,89	94,799	137,244												
27,085	94,873	136,37												
27,281	94,947	135,498												
27,479	95,019	134,628												
27,678	95,089	133,761												
27,879	95,159	132,895												
28,081	95,227	132,032												
28,284	95,293	131,171												
28,489	95,359	130,312												
28,696	95,423	129,454												
28,904	95,486	128,598												
29,113	95,547	127,744												
29,324	95,608	126,892												
29,537	95,667	126,042												
29,751	95,725	125,193												
29,966	95,781	124,346												
30,183	95,836	123,501												
30,402	95,89	122,658												
30,622	95,943	121,817												
30,844	95,994	120,978												
31,068	96,045	120,14												
31,293	96,093	119,305												
31,52	96,141	118,472												
31,748	96,187	117,641												
31,978	96,231	116,812												
32,21	96,274	115,986												
32,443	96,316	115,163												
32,678	96,356	114,343												
32,915	96,394	113,527												
33,154	96,43	112,716												
33,394	96,465	111,911												
33,636	96,498	111,114												
33,88	96,529	110,325												
34,125	96,559	109,545												
34,372	96,587	108,775												
34,621	96,614	108,017												
34,872	96,64	107,27												
35,125	96,665	106,535												
35,38	96,689	105,811												
35,636	96,714	105,099												
35,894	96,737	104,398												
36,154	96,761	103,707												
36,416	96,785	103,023												
36,68	96,809	102,348												
36,946	96,833	101,678												
37,214	96,858	101,013												
37,483	96,883	100,35												
37,755	96,908	99,689												
38,029	96,933	99,028												
38,304	96,957	98,365												
38,582	96,981	97,7												
38,861	97,005	97,032												
39,143	97,026	96,362												
39,427	97,047	95,691												
39,712	97,065	95,021												
40	97,082	94,354												
40,29	97,096	93,692												
40,582	97,108	93,041												
40,876	97,118	92,401												
41,172	97,126	91,776												
41,47	97,134	91,167												
41,771	97,141	90,575												
42,074	97,147	90												
42,379	97,154	89,439												
42,686	97,162	88,89												
42,995	97,171	88,349												
43,306	97,181	87,814												
43,62	97,192	87,279												
43,936	97,203	86,741												
44,255	97,215	86,197												
44,575	97,227	85,644												
44,898	97,237	85,081												
45,224	97,245	84,508												
45,552	97,251	83,928												
45,882	97,253	83,343												
46,214	97,25	82,76												
46,549	97,243	82,185												
46,886	97,231	81,625												
47,226	97,215	81,088												
47,568	97,194	80,58												
47,913	97,17	80,108												
48,26	97,144	79,675												
48,61	97,117	79,284												
48,962	97,089	78,936												
49,317	97,063	78,629												
49,674	97,038	78,36												
50,034	97,017	78,124												
50,397	96,998	77,916												
50,762	96,983	77,729												
51,13	96,972	77,557												
51,5	96,963	77,397												
51,874	96,958	77,244												
52,249	96,954	77,097												
52,628	96,952	76,955												
53,009	96,952	76,818												
53,394	96,953	76,686												
53,781	96,955	76,56												
54,17	96,957	76,443												
54,563	96,96	76,335												
54,958	96,964	76,239												
55,356	96,969	76,156												
55,758	96,975	76,086												
56,162	96,982	76,03												
56,569	96,992	75,986												
56,978	97,004	75,95												
57,391	97,019	75,921												
57,807	97,035	75,896												
58,226	97,053	75,875												
58,648	97,074	75,858												
59,073	97,096	75,844												
59,501	97,12	75,834												
59,932	97,146	75,827												
60,367	97,175	75,82												
60,804	97,207	75,811												
61,245	97,24	75,797												
61,688	97,276	75,779												
62,135	97,314	75,753												
62,586	97,353	75,72												
63,039	97,394	75,68												
63,496	97,436	75,631												
63,956	97,48	75,574												
64,42	97,525	75,507												
64,886	97,572	75,43												
65,357	97,619	75,342												
65,83	97,667	75,244												
66,307	97,715	75,135												
66,788	97,764	75,018												
67,272	97,812	74,893												
67,759	97,861	74,762												
68,25	97,911	74,624												
68,745	97,96	74,479												
69,243	98,01	74,326												
69,745	98,059	74,166												
70,25	98,108	74,001												
70,759	98,157	73,833												
71,272	98,205	73,666												
71,788	98,253	73,501												
72,309	98,302	73,338												
72,833	98,352	73,174												
73,36	98,403	73,005												
73,892	98,456	72,83												
74,427	98,508	72,645												
74,967	98,561	72,451												
75,51	98,614	72,25												
76,057	98,666	72,041												
76,608	98,718	71,826												
77,163	98,77	71,606												
77,723	98,821	71,383												
78,286	98,872	71,155												
78,853	98,922	70,925												
79,424	98,973	70,691												
80	99,023	70,454												
80,58	99,073	70,211												
81,164	99,123	69,963												
81,752	99,172	69,706												
82,344	99,22	69,442												
82,941	99,268	69,171												
83,542	99,313	68,896												
84,147	99,357	68,623												
84,757	99,399	68,354												
85,371	99,441	68,092												
85,99	99,483	67,834												
86,613	99,524	67,578												
87,241	99,566	67,322												
87,873	99,607	67,067												
88,51	99,649	66,813												
89,151	99,691	66,56												
89,797	99,734	66,306												
90,448	99,779	66,044												
91,103	99,824	65,768												
91,763	99,87	65,469												
92,428	99,914	65,145												
93,098	99,954	64,799												
93,773	99,99	64,443												
94,452	100,021	64,091												
95,137	100,049	63,754												
95,826	100,075	63,434												
96,52	100,1	63,126												
97,22	100,125	62,824												
97,924	100,15	62,524												
98,634	100,175	62,224												
99,349	100,198	61,922												
100,069	100,221	61,617												
100,794	100,242	61,307												
101,524	100,261	60,994												
102,26	100,277	60,682												
103,001	100,291	60,374												
103,747	100,303	60,064												
104,499	100,312	59,746												
105,256	100,316	59,409												
106,019	100,31	59,059												
106,787	100,289	58,725												
107,561	100,25	58,475												
108,34	100,197	58,395												
109,126	100,148	58,541												
109,916	100,12	58,89												
110,713	100,13	59,331												
111,515	100,175	59,722												
112,323	100,244	59,969												
113,137	100,319	60,054												
113,957	100,39	60,017												
114,783	100,453	59,909												
115,614	100,509	59,768												
116,452	100,561	59,609												
117,296	100,609	59,438												
118,146	100,653	59,258												
119,002	100,693	59,074												
119,865	100,73	58,894												
120,733	100,765	58,72												
121,608	100,798	58,551												
122,489	100,83	58,384												
123,377	100,86	58,219												
124,271	100,888	58,061												
125,171	100,915	57,912												
126,078	100,941	57,771												
126,992	100,965	57,644												
127,912	100,99	57,534												
128,839	101,016	57,441												
129,773	101,044	57,351												
130,713	101,073	57,254												
131,66	101,101	57,155												
132,615	101,127	57,069												
133,575	101,153	57,008												
134,543	101,181	56,966												
135,518	101,212	56,936												
136,5	101,244	56,914												
137,49	101,28	56,901												
138,486	101,318	56,89												
139,489	101,358	56,872												
140,5	101,4	56,846												
141,518	101,441	56,82												
142,544	101,483	56,801												
143,577	101,527	56,787												
144,617	101,573	56,775												
145,665	101,621	56,761												
146,721	101,673	56,739												
147,784	101,726	56,698												
148,855	101,781	56,633												
149,933	101,834	56,543												
151,02	101,886	56,433												
152,114	101,936	56,311												
153,217	101,983	56,184												
154,327	102,029	56,054												
155,445	102,074	55,927												
156,572	102,119	55,814												
157,706	102,168	55,703												
158,849	102,218	55,579												
160	102,268	55,451												
161,159	102,319	55,352												
162,327	102,376	55,293												
163,504	102,446	55,236												
164,688	102,526	55,128												
165,882	102,607	54,94												
167,084	102,68	54,683												
168,295	102,737	54,421												
169,514	102,78	54,256												
170,742	102,828	54,236												
171,98	102,897	54,29												
173,226	102,99	54,278												
174,481	103,091	54,113												
175,746	103,187	53,794												
177,019	103,269	53,362												
178,302	103,332	52,871												
179,594	103,376	52,378												
180,895	103,402	51,94												
182,206	103,417	51,609												
183,527	103,43	51,408												
184,856	103,453	51,316												
186,196	103,49	51,281												
187,545	103,542	51,261												
188,904	103,607	51,218												
190,273	103,682	51,113												
191,652	103,761	50,922												
193,041	103,836	50,673												
194,44	103,907	50,405												
195,849	103,98	50,12												
197,268	104,053	49,8												
198,697	104,123	49,446												
200,137	104,19	49,074												
201,587	104,255	48,685												
203,048	104,317	48,287												
204,52	104,378	47,889												
206,002	104,439	47,473												
207,494	104,499	47,024												
208,998	104,553	46,56												
210,512	104,605	46,098												
212,038	104,656	45,636												
213,574	104,705	45,17												
215,122	104,754	44,697												
216,681	104,801	44,216												
218,251	104,847	43,729												
219,833	104,894	43,233												
221,426	104,939	42,712												
223,03	104,982	42,161												
224,646	105,019	41,59												
226,274	105,05	41,01												
227,914	105,077	40,422												
229,565	105,098	39,823												
231,229	105,109	39,23												
232,905	105,112	38,673												
234,592	105,111	38,179												
236,292	105,111	37,747												
238,004	105,117	37,357												
239,729	105,133	36,968												
241,466	105,153	36,542												
243,216	105,173	36,081												
244,979	105,192	35,613												
246,754	105,213	35,137												
248,542	105,236	34,634												
250,343	105,259	34,078												
252,157	105,274	33,467												
253,984	105,279	32,838												
255,825	105,276	32,213												
257,678	105,266	31,588												
259,546	105,246	30,981												
261,426	105,221	30,406												
263,321	105,191	29,86												
265,229	105,157	29,346												
267,151	105,122	28,869												
269,087	105,085	28,423												
271,037	105,049	28,004												
273,001	105,012	27,611												
274,979	104,976	27,24												
276,972	104,941	26,883												
278,979	104,905	26,532												
281	104,867	26,184												
283,037	104,825	25,855												
285,088	104,781	25,562												
287,153	104,74	25,291												
289,234	104,699	25,024												
291,33	104,657	24,76												
293,441	104,613	24,506												
295,568	104,566	24,277												
297,71	104,518	24,083												
299,867	104,473	23,915												
302,04	104,43	23,749												
304,228	104,386	23,592												
306,433	104,341	23,46												
308,654	104,297	23,355												
310,89	104,254	23,277												
313,143	104,216	23,212												
315,412	104,179	23,143												
317,698	104,142	23,079												
320	104,104	23,03												
322,319	104,067	22,989												
324,655	104,028	22,966												
327,007	103,989	22,97												
329,377	103,952	22,996												
331,764	103,916	23,038												
334,168	103,883	23,092												
336,589	103,853	23,153												
339,028	103,825	23,209												
341,485	103,797	23,261												
343,959	103,77	23,312												
346,452	103,742	23,365												
348,962	103,713	23,425												
351,491	103,684	23,501												
354,038	103,656	23,596												
356,604	103,629	23,71												
359,188	103,605	23,842												
361,791	103,584	23,985												
364,412	103,566	24,127												
367,053	103,55	24,268												
369,713	103,534	24,416												
372,392	103,52	24,578												
375,09	103,509	24,75												
377,809	103,502	24,918												
380,546	103,495	25,077												
383,304	103,487	25,24												
386,081	103,48	25,41												
388,879	103,474	25,577												
391,697	103,468	25,748												
394,536	103,463	25,935												
397,395	103,462	26,125												
400,274	103,461	26,308												
403,175	103,458	26,498												
406,096	103,458	26,702												
409,039	103,46	26,904												
412,003	103,464	27,119												
414,989	103,473	27,347												
417,996	103,487	27,563												
421,025	103,502	27,769												
424,076	103,518	27,967												
427,149	103,534	28,156												
430,244	103,549	28,345												
433,362	103,564	28,541												
436,502	103,581	28,743												
439,665	103,6	28,946												
442,851	103,623	29,142												
446,06	103,647	29,322												
449,293	103,671	29,49												
452,548	103,695	29,655												
455,828	103,719	29,824												
459,131	103,744	29,997												
462,458	103,77	30,17												
465,809	103,797	30,343												
469,184	103,825	30,518												
472,584	103,856	30,689												
476,009	103,889	30,851												
479,458	103,922	31,008												
482,933	103,957	31,164												
486,432	103,992	31,315												
489,957	104,028	31,464												
493,507	104,065	31,615												
497,084	104,104	31,76												
500,686	104,143	31,901												
504,314	104,183	32,038												
507,968	104,226	32,171												
511,649	104,269	32,294												
