* Measurement data measured by REW V5.20 Beta 4
* Source: Microphone (E.A.R.S Gain: 18dB  ), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -8.0 dBFS  With no timing reference
* Dated: Jan 28, 2019 11:39:56 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Grado SR80e L
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.1 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.145 88.742 145.940
20.291 88.806 145.763
20.438 88.870 145.473
20.586 88.963 145.021
20.735 89.112 144.390
20.885 89.260 143.758
21.037 89.390 143.195
21.189 89.514 142.654
21.343 89.633 142.138
21.497 89.747 141.645
21.653 89.861 141.149
21.810 89.976 140.645
21.968 90.090 140.145
22.127 90.202 139.651
22.288 90.313 139.162
22.449 90.423 138.680
22.612 90.531 138.205
22.776 90.638 137.733
22.941 90.744 137.264
23.107 90.850 136.800
23.274 90.955 136.340
23.443 91.059 135.883
23.613 91.162 135.430
23.784 91.265 134.980
23.956 91.367 134.532
24.130 91.469 134.087
24.305 91.570 133.643
24.481 91.671 133.200
24.658 91.771 132.757
24.837 91.871 132.315
25.017 91.971 131.872
25.198 92.070 131.428
25.381 92.169 130.983
25.565 92.267 130.536
25.750 92.365 130.088
25.937 92.462 129.639
26.125 92.558 129.187
26.314 92.654 128.735
26.505 92.748 128.281
26.697 92.842 127.826
26.890 92.936 127.372
27.085 93.028 126.917
27.281 93.120 126.464
27.479 93.211 126.011
27.678 93.301 125.561
27.879 93.391 125.113
28.081 93.481 124.667
28.284 93.570 124.224
28.489 93.659 123.782
28.696 93.748 123.343
28.904 93.837 122.904
29.113 93.927 122.466
29.324 94.017 122.028
29.537 94.107 121.589
29.751 94.197 121.147
29.966 94.287 120.702
30.183 94.378 120.254
30.402 94.468 119.801
30.622 94.559 119.343
30.844 94.649 118.881
31.068 94.739 118.413
31.293 94.829 117.941
31.520 94.918 117.464
31.748 95.006 116.984
31.978 95.094 116.500
32.210 95.182 116.013
32.443 95.268 115.524
32.678 95.354 115.033
32.915 95.440 114.539
33.154 95.525 114.044
33.394 95.609 113.548
33.636 95.693 113.049
33.880 95.777 112.550
34.125 95.860 112.049
34.372 95.942 111.548
34.621 96.024 111.045
34.872 96.105 110.542
35.125 96.186 110.038
35.380 96.267 109.534
35.636 96.347 109.030
35.894 96.427 108.525
36.154 96.507 108.019
36.416 96.587 107.511
36.680 96.667 107.002
36.946 96.746 106.489
37.214 96.826 105.973
37.483 96.905 105.454
37.755 96.983 104.930
38.029 97.062 104.402
38.304 97.139 103.870
38.582 97.216 103.336
38.861 97.293 102.798
39.143 97.368 102.258
39.427 97.443 101.717
39.712 97.518 101.175
40.000 97.591 100.633
40.290 97.665 100.089
40.582 97.738 99.545
40.876 97.811 98.998
41.172 97.884 98.449
41.470 97.956 97.897
41.771 98.028 97.342
42.074 98.100 96.783
42.379 98.171 96.221
42.686 98.241 95.655
42.995 98.311 95.087
43.306 98.381 94.516
43.620 98.450 93.943
43.936 98.518 93.367
44.255 98.587 92.787
44.575 98.655 92.202
44.898 98.723 91.610
45.224 98.790 91.011
45.552 98.857 90.403
45.882 98.922 89.785
46.214 98.985 89.160
46.549 99.046 88.530
46.886 99.104 87.899
47.226 99.160 87.273
47.568 99.214 86.655
47.913 99.267 86.049
48.260 99.318 85.457
48.610 99.370 84.879
48.962 99.423 84.310
49.317 99.477 83.744
49.674 99.532 83.178
50.034 99.589 82.605
50.397 99.645 82.023
50.762 99.701 81.433
51.130 99.756 80.835
51.500 99.810 80.234
51.874 99.861 79.634
52.249 99.912 79.038
52.628 99.963 78.446
53.009 100.013 77.859
53.394 100.063 77.273
53.781 100.113 76.686
54.170 100.164 76.095
54.563 100.214 75.498
54.958 100.263 74.896
55.356 100.311 74.289
55.758 100.358 73.680
56.162 100.403 73.070
56.569 100.447 72.461
56.978 100.490 71.855
57.391 100.532 71.251
57.807 100.574 70.650
58.226 100.615 70.049
58.648 100.655 69.448
59.073 100.694 68.846
59.501 100.733 68.241
59.932 100.771 67.635
60.367 100.807 67.027
60.804 100.842 66.419
61.245 100.876 65.812
61.688 100.908 65.207
62.135 100.939 64.607
62.586 100.969 64.009
63.039 100.997 63.415
63.496 101.026 62.825
63.956 101.053 62.236
64.420 101.079 61.650
64.886 101.104 61.067
65.357 101.129 60.488
65.830 101.152 59.912
66.307 101.174 59.341
66.788 101.196 58.774
67.272 101.218 58.212
67.759 101.239 57.654
68.250 101.259 57.100
68.745 101.280 56.548
69.243 101.300 55.998
69.745 101.321 55.447
70.250 101.341 54.894
70.759 101.360 54.337
71.272 101.379 53.778
71.788 101.397 53.216
72.309 101.414 52.652
72.833 101.429 52.088
73.360 101.443 51.526
73.892 101.456 50.965
74.427 101.468 50.408
74.967 101.478 49.854
75.510 101.488 49.304
76.057 101.497 48.759
76.608 101.504 48.217
77.163 101.511 47.680
77.723 101.518 47.147
78.286 101.523 46.618
78.853 101.528 46.093
79.424 101.531 45.572
80.000 101.534 45.057
80.580 101.536 44.546
81.164 101.538 44.040
81.752 101.538 43.539
82.344 101.538 43.044
82.941 101.537 42.555
83.542 101.536 42.071
84.147 101.534 41.590
84.757 101.532 41.112
85.371 101.529 40.638
85.990 101.524 40.169
86.613 101.520 39.709
87.241 101.515 39.256
87.873 101.510 38.810
88.510 101.507 38.365
89.151 101.503 37.919
89.797 101.500 37.467
90.448 101.496 37.010
91.103 101.490 36.551
91.763 101.481 36.097
92.428 101.472 35.659
93.098 101.462 35.238
93.773 101.453 34.832
94.452 101.446 34.431
95.137 101.439 34.028
95.826 101.432 33.624
96.520 101.425 33.223
97.220 101.417 32.830
97.924 101.409 32.445
98.634 101.402 32.063
99.349 101.395 31.677
100.069 101.387 31.285
100.794 101.378 30.888
101.524 101.366 30.491
102.260 101.352 30.104
103.001 101.336 29.731
103.747 101.319 29.374
104.499 101.302 29.030
105.256 101.286 28.695
106.019 101.271 28.363
106.787 101.257 28.029
107.561 101.242 27.689
108.340 101.225 27.349
109.126 101.207 27.013
109.916 101.188 26.687
110.713 101.169 26.371
111.515 101.150 26.063
112.323 101.132 25.758
113.137 101.113 25.456
113.957 101.094 25.157
114.783 101.075 24.864
115.614 101.057 24.575
116.452 101.038 24.290
117.296 101.019 24.007
118.146 101.000 23.725
119.002 100.980 23.445
119.865 100.959 23.172
120.733 100.938 22.905
121.608 100.916 22.645
122.489 100.894 22.392
123.377 100.872 22.144
124.271 100.849 21.900
125.171 100.825 21.662
126.078 100.801 21.436
126.992 100.776 21.223
127.912 100.752 21.020
128.839 100.729 20.828
129.773 100.706 20.644
130.713 100.685 20.469
131.660 100.665 20.296
132.615 100.647 20.122
133.575 100.629 19.942
134.543 100.611 19.759
135.518 100.592 19.578
136.500 100.574 19.402
137.490 100.556 19.227
138.486 100.538 19.050
139.489 100.519 18.872
140.500 100.500 18.698
141.518 100.481 18.529
142.544 100.463 18.363
143.577 100.445 18.197
144.617 100.427 18.028
145.665 100.408 17.857
146.721 100.388 17.688
147.784 100.367 17.528
148.855 100.346 17.381
149.933 100.327 17.241
151.020 100.309 17.101
152.114 100.293 16.954
153.217 100.276 16.795
154.327 100.259 16.622
155.445 100.240 16.440
156.572 100.217 16.258
157.706 100.190 16.088
158.849 100.162 15.933
160.000 100.132 15.790
161.159 100.101 15.654
162.327 100.067 15.529
163.504 100.031 15.421
164.688 99.993 15.338
165.882 99.955 15.284
167.084 99.920 15.254
168.295 99.888 15.230
169.514 99.860 15.194
170.742 99.830 15.142
171.980 99.798 15.090
173.226 99.762 15.060
174.481 99.725 15.068
175.746 99.689 15.117
177.019 99.658 15.198
178.302 99.631 15.293
179.594 99.609 15.394
180.895 99.590 15.500
182.206 99.574 15.607
183.527 99.563 15.707
184.856 99.555 15.794
186.196 99.550 15.858
187.545 99.546 15.890
188.904 99.539 15.900
190.273 99.529 15.916
191.652 99.519 15.948
193.041 99.512 15.982
194.440 99.505 16.003
195.849 99.497 16.019
197.268 99.490 16.039
198.697 99.483 16.055
200.137 99.476 16.054
201.587 99.467 16.037
203.048 99.453 16.017
204.520 99.434 16.016
206.002 99.414 16.050
207.494 99.396 16.116
208.998 99.382 16.187
210.512 99.370 16.243
212.038 99.356 16.290
213.574 99.340 16.349
215.122 99.324 16.432
216.681 99.310 16.534
218.251 99.298 16.636
219.833 99.284 16.739
221.426 99.268 16.869
223.030 99.253 17.038
224.646 99.242 17.232
226.274 99.234 17.428
227.914 99.228 17.617
229.565 99.221 17.811
231.229 99.214 18.022
232.905 99.207 18.267
234.592 99.204 18.559
236.292 99.211 18.892
238.004 99.229 19.233
239.729 99.258 19.563
241.466 99.297 19.878
243.216 99.348 20.160
244.979 99.408 20.386
246.754 99.475 20.555
248.542 99.551 20.667
250.343 99.635 20.696
252.157 99.727 20.608
253.984 99.819 20.348
255.825 99.895 19.926
257.678 99.947 19.438
259.546 99.982 18.951
261.426 100.002 18.456
263.321 100.005 17.972
265.229 99.993 17.547
267.151 99.972 17.184
269.087 99.945 16.878
271.037 99.914 16.639
273.001 99.885 16.452
274.979 99.859 16.278
276.972 99.831 16.105
278.979 99.800 15.951
281.000 99.766 15.831
283.037 99.734 15.750
285.088 99.705 15.701
287.153 99.680 15.654
289.234 99.655 15.597
291.330 99.626 15.559
293.441 99.596 15.570
295.568 99.571 15.617
297.710 99.550 15.668
299.867 99.531 15.713
302.040 99.511 15.759
304.228 99.493 15.808
306.433 99.476 15.857
308.654 99.461 15.902
310.890 99.445 15.940
313.143 99.428 15.978
315.412 99.409 16.027
317.698 99.388 16.099
320.000 99.369 16.209
322.319 99.356 16.339
324.655 99.348 16.446
327.007 99.340 16.530
329.377 99.330 16.613
331.764 99.321 16.697
334.168 99.312 16.780
336.589 99.304 16.854
339.028 99.294 16.925
341.485 99.281 17.023
343.959 99.272 17.147
346.452 99.267 17.269
348.962 99.262 17.376
351.491 99.258 17.476
354.038 99.254 17.569
356.604 99.250 17.640
359.188 99.244 17.699
361.791 99.235 17.759
364.412 99.225 17.832
367.053 99.215 17.925
369.713 99.207 18.031
372.392 99.200 18.138
375.090 99.194 18.243
377.809 99.189 18.346
380.546 99.184 18.444
383.304 99.178 18.547
386.081 99.172 18.659
388.879 99.168 18.788
391.697 99.166 18.916
394.536 99.165 19.019
397.395 99.161 19.095
400.274 99.154 19.170
403.175 99.146 19.237
406.096 99.134 19.282
409.039 99.114 19.359
412.003 99.099 19.549
414.989 99.105 19.755
417.996 99.117 19.874
421.025 99.122 19.955
424.076 99.119 20.043
427.149 99.111 20.152
430.244 99.103 20.294
433.362 99.100 20.453
436.502 99.100 20.594
439.665 99.099 20.718
442.851 99.096 20.845
446.060 99.092 20.977
449.293 99.087 21.118
452.548 99.084 21.258
455.828 99.080 21.398
459.131 99.076 21.545
462.458 99.073 21.692
465.809 99.071 21.840
469.184 99.072 21.992
472.584 99.077 22.137
476.009 99.082 22.252
479.458 99.082 22.359
482.933 99.079 22.491
486.432 99.075 22.633
489.957 99.070 22.776
493.507 99.067 22.922
497.084 99.065 23.065
500.686 99.064 23.210
504.314 99.063 23.362
507.968 99.061 23.507
511.649 99.056 23.649
515.357 99.050 23.810
519.091 99.045 24.001
522.853 99.048 24.193
526.642 99.053 24.348
530.458 99.055 24.482
534.302 99.055 24.623
538.174 99.054 24.784
542.074 99.052 24.959
546.002 99.048 25.147
549.958 99.046 25.349
553.943 99.048 25.543
557.958 99.049 25.731
562.001 99.049 25.929
566.073 99.048 26.139
570.175 99.049 26.352
574.307 99.054 26.534
578.469 99.057 26.677
582.660 99.056 26.824
586.883 99.053 27.027
591.135 99.061 27.255
595.419 99.072 27.435
599.734 99.077 27.579
604.080 99.076 27.735
608.457 99.073 27.929
612.866 99.072 28.165
617.307 99.079 28.405
621.780 99.087 28.611
626.286 99.093 28.816
630.824 99.105 29.033
635.396 99.121 29.213
640.000 99.132 29.349
644.638 99.131 29.490
649.309 99.125 29.664
654.014 99.119 29.881
658.753 99.119 30.109
663.527 99.121 30.321
668.335 99.125 30.508
673.178 99.125 30.699
678.056 99.127 30.930
