* Measurement data measured by REW V5.20 Beta 4
* Source: Microphone (E.A.R.S Gain: 18dB  ), no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -8.0 dBFS  With no timing reference
* Dated: Jan 28, 2019 11:38:21 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Grado SR80e R
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.1 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.145 89.353 143.776
20.291 89.419 143.604
20.438 89.484 143.322
20.586 89.579 142.881
20.735 89.731 142.265
20.885 89.881 141.648
21.037 90.014 141.096
21.189 90.141 140.565
21.343 90.262 140.055
21.497 90.378 139.567
21.653 90.494 139.073
21.810 90.611 138.570
21.968 90.726 138.067
22.127 90.839 137.569
22.288 90.951 137.074
22.449 91.060 136.585
22.612 91.168 136.101
22.776 91.274 135.620
22.941 91.379 135.142
23.107 91.482 134.670
23.274 91.584 134.203
23.443 91.684 133.742
23.613 91.783 133.287
23.784 91.881 132.838
23.956 91.978 132.395
24.130 92.074 131.957
24.305 92.170 131.526
24.481 92.265 131.100
24.658 92.360 130.679
24.837 92.455 130.262
25.017 92.549 129.848
25.198 92.644 129.436
25.381 92.738 129.026
25.565 92.833 128.615
25.750 92.927 128.204
25.937 93.022 127.791
26.125 93.116 127.375
26.314 93.211 126.956
26.505 93.305 126.534
26.697 93.398 126.107
26.890 93.492 125.677
27.085 93.584 125.243
27.281 93.676 124.806
27.479 93.768 124.366
27.678 93.858 123.923
27.879 93.948 123.479
28.081 94.037 123.033
28.284 94.126 122.586
28.489 94.214 122.138
28.696 94.302 121.690
28.904 94.389 121.242
29.113 94.476 120.793
29.324 94.563 120.344
29.537 94.649 119.894
29.751 94.735 119.442
29.966 94.821 118.988
30.183 94.907 118.533
30.402 94.993 118.075
30.622 95.078 117.614
30.844 95.164 117.151
31.068 95.249 116.684
31.293 95.333 116.215
31.520 95.418 115.743
31.748 95.501 115.269
31.978 95.585 114.792
32.210 95.668 114.314
32.443 95.750 113.834
32.678 95.832 113.354
32.915 95.914 112.872
33.154 95.995 112.390
33.394 96.076 111.907
33.636 96.157 111.424
33.880 96.238 110.939
34.125 96.319 110.453
34.372 96.399 109.966
34.621 96.480 109.476
34.872 96.560 108.984
35.125 96.640 108.489
35.380 96.720 107.990
35.636 96.800 107.488
35.894 96.879 106.983
36.154 96.957 106.474
36.416 97.035 105.963
36.680 97.113 105.449
36.946 97.190 104.933
37.214 97.266 104.415
37.483 97.342 103.896
37.755 97.417 103.376
38.029 97.491 102.855
38.304 97.565 102.334
38.582 97.639 101.812
38.861 97.712 101.289
39.143 97.784 100.766
39.427 97.856 100.242
39.712 97.928 99.716
40.000 97.999 99.189
40.290 98.070 98.660
40.582 98.140 98.129
40.876 98.210 97.596
41.172 98.279 97.062
41.470 98.348 96.526
41.771 98.416 95.988
42.074 98.483 95.450
42.379 98.550 94.911
42.686 98.616 94.371
42.995 98.681 93.830
43.306 98.746 93.289
43.620 98.811 92.748
43.936 98.875 92.205
44.255 98.938 91.662
44.575 99.001 91.117
44.898 99.063 90.572
45.224 99.124 90.028
45.552 99.185 89.483
45.882 99.245 88.940
46.214 99.305 88.399
46.549 99.365 87.861
46.886 99.424 87.324
47.226 99.484 86.789
47.568 99.545 86.253
47.913 99.605 85.715
48.260 99.667 85.172
48.610 99.728 84.622
48.962 99.789 84.064
49.317 99.850 83.496
49.674 99.910 82.919
50.034 99.969 82.335
50.397 100.026 81.745
50.762 100.082 81.153
51.130 100.136 80.559
51.500 100.189 79.966
51.874 100.241 79.373
52.249 100.292 78.781
52.628 100.341 78.190
53.009 100.390 77.602
53.394 100.438 77.015
53.781 100.484 76.431
54.170 100.530 75.850
54.563 100.575 75.272
54.958 100.620 74.698
55.356 100.665 74.125
55.758 100.709 73.554
56.162 100.753 72.982
56.569 100.796 72.409
56.978 100.839 71.833
57.391 100.881 71.255
57.807 100.923 70.675
58.226 100.963 70.093
58.648 101.002 69.511
59.073 101.040 68.929
59.501 101.076 68.349
59.932 101.112 67.772
60.367 101.146 67.198
60.804 101.180 66.629
61.245 101.213 66.063
61.688 101.245 65.500
62.135 101.277 64.940
62.586 101.308 64.382
63.039 101.339 63.826
63.496 101.369 63.272
63.956 101.399 62.720
64.420 101.428 62.171
64.886 101.456 61.624
65.357 101.484 61.080
65.830 101.512 60.538
66.307 101.539 59.999
66.788 101.566 59.461
67.272 101.593 58.924
67.759 101.620 58.387
68.250 101.646 57.850
68.745 101.672 57.310
69.243 101.698 56.768
69.745 101.722 56.223
70.250 101.746 55.676
70.759 101.769 55.127
71.272 101.790 54.579
71.788 101.811 54.032
72.309 101.830 53.487
72.833 101.849 52.942
73.360 101.866 52.397
73.892 101.883 51.853
74.427 101.898 51.310
74.967 101.911 50.771
75.510 101.924 50.237
76.057 101.936 49.708
76.608 101.947 49.185
77.163 101.958 48.663
77.723 101.969 48.142
78.286 101.978 47.620
78.853 101.987 47.098
79.424 101.994 46.578
80.000 101.999 46.064
80.580 102.004 45.558
81.164 102.007 45.063
81.752 102.011 44.577
82.344 102.015 44.096
82.941 102.020 43.615
83.542 102.025 43.133
84.147 102.029 42.648
84.757 102.032 42.161
85.371 102.033 41.678
85.990 102.034 41.200
86.613 102.034 40.730
87.241 102.033 40.270
87.873 102.032 39.819
88.510 102.032 39.377
89.151 102.033 38.942
89.797 102.036 38.509
90.448 102.040 38.067
91.103 102.046 37.606
91.763 102.050 37.119
92.428 102.049 36.614
93.098 102.042 36.107
93.773 102.030 35.624
94.452 102.013 35.180
95.137 101.997 34.780
95.826 101.983 34.411
96.520 101.972 34.057
97.220 101.964 33.705
97.924 101.958 33.346
98.634 101.951 32.978
99.349 101.944 32.605
100.069 101.935 32.230
100.794 101.924 31.860
101.524 101.912 31.499
102.260 101.899 31.149
103.001 101.887 30.808
103.747 101.876 30.471
104.499 101.865 30.131
105.256 101.855 29.785
106.019 101.845 29.431
106.787 101.833 29.073
107.561 101.819 28.717
108.340 101.804 28.366
109.126 101.788 28.025
109.916 101.772 27.694
110.713 101.756 27.374
111.515 101.740 27.062
112.323 101.725 26.753
113.137 101.711 26.444
113.957 101.695 26.137
114.783 101.679 25.834
115.614 101.663 25.536
116.452 101.646 25.245
117.296 101.629 24.958
118.146 101.612 24.676
119.002 101.595 24.398
119.865 101.577 24.126
120.733 101.559 23.859
121.608 101.541 23.598
122.489 101.523 23.339
123.377 101.505 23.084
124.271 101.487 22.835
125.171 101.468 22.592
126.078 101.449 22.358
126.992 101.431 22.132
127.912 101.414 21.907
128.839 101.397 21.681
129.773 101.379 21.454
130.713 101.361 21.228
131.660 101.342 21.006
132.615 101.321 20.792
133.575 101.300 20.591
134.543 101.280 20.406
135.518 101.262 20.231
136.500 101.246 20.053
137.490 101.230 19.866
138.486 101.215 19.672
139.489 101.198 19.475
140.500 101.181 19.282
141.518 101.163 19.092
142.544 101.144 18.908
143.577 101.125 18.731
144.617 101.107 18.563
145.665 101.089 18.401
146.721 101.072 18.240
147.784 101.056 18.072
148.855 101.040 17.897
149.933 101.022 17.716
151.020 101.002 17.540
152.114 100.981 17.377
153.217 100.960 17.230
154.327 100.940 17.094
155.445 100.922 16.962
156.572 100.904 16.832
157.706 100.888 16.699
158.849 100.872 16.561
160.000 100.855 16.417
161.159 100.837 16.274
162.327 100.819 16.136
163.504 100.801 16.000
164.688 100.783 15.864
165.882 100.764 15.727
167.084 100.745 15.585
168.295 100.725 15.433
169.514 100.702 15.277
170.742 100.675 15.131
171.980 100.647 15.003
173.226 100.618 14.890
174.481 100.588 14.785
175.746 100.558 14.694
177.019 100.527 14.617
178.302 100.496 14.548
179.594 100.464 14.483
180.895 100.430 14.430
182.206 100.393 14.404
183.527 100.356 14.417
184.856 100.320 14.476
186.196 100.289 14.566
187.545 100.265 14.669
188.904 100.245 14.773
190.273 100.231 14.869
191.652 100.219 14.948
193.041 100.210 15.012
194.440 100.201 15.069
195.849 100.194 15.118
197.268 100.186 15.160
198.697 100.178 15.205
200.137 100.172 15.261
201.587 100.169 15.316
203.048 100.169 15.353
204.520 100.169 15.368
206.002 100.168 15.364
207.494 100.165 15.349
208.998 100.161 15.336
210.512 100.156 15.329
212.038 100.152 15.324
213.574 100.148 15.322
215.122 100.146 15.327
216.681 100.145 15.331
218.251 100.146 15.319
219.833 100.146 15.294
221.426 100.144 15.271
223.030 100.142 15.253
224.646 100.141 15.234
226.274 100.140 15.210
227.914 100.138 15.190
229.565 100.136 15.181
231.229 100.136 15.176
232.905 100.138 15.164
234.592 100.141 15.133
236.292 100.143 15.074
238.004 100.141 14.997
239.729 100.135 14.921
241.466 100.126 14.856
243.216 100.116 14.820
244.979 100.113 14.806
246.754 100.120 14.755
248.542 100.129 14.608
250.343 100.128 14.397
252.157 100.115 14.192
253.984 100.097 14.014
255.825 100.074 13.855
257.678 100.046 13.715
259.546 100.013 13.607
261.426 99.977 13.532
263.321 99.937 13.484
265.229 99.893 13.475
267.151 99.848 13.515
269.087 99.805 13.606
271.037 99.765 13.746
273.001 99.733 13.917
274.979 99.708 14.088
276.972 99.688 14.242
278.979 99.671 14.388
281.000 99.656 14.530
283.037 99.642 14.666
285.088 99.630 14.801
287.153 99.621 14.931
289.234 99.612 15.056
291.330 99.603 15.181
293.441 99.594 15.314
295.568 99.587 15.467
297.710 99.583 15.628
299.867 99.582 15.776
302.040 99.582 15.911
304.228 99.583 16.035
306.433 99.584 16.128
308.654 99.582 16.193
310.890 99.573 16.262
313.143 99.562 16.378
315.412 99.556 16.531
317.698 99.557 16.668
320.000 99.559 16.758
322.319 99.557 16.830
324.655 99.551 16.918
327.007 99.546 17.024
329.377 99.544 17.124
331.764 99.542 17.210
334.168 99.538 17.298
336.589 99.534 17.403
339.028 99.532 17.512
341.485 99.531 17.613
343.959 99.530 17.714
346.452 99.530 17.814
348.962 99.530 17.897
351.491 99.526 17.983
354.038 99.522 18.091
356.604 99.520 18.210
359.188 99.521 18.323
361.791 99.523 18.419
364.412 99.524 18.499
367.053 99.522 18.574
369.713 99.518 18.660
372.392 99.515 18.763
375.090 99.513 18.869
377.809 99.511 18.971
380.546 99.507 19.086
383.304 99.505 19.214
386.081 99.506 19.324
388.879 99.505 19.415
391.697 99.503 19.510
394.536 99.503 19.616
397.395 99.504 19.720
400.274 99.502 19.833
403.175 99.497 19.992
406.096 99.492 20.192
409.039 99.495 20.392
412.003 99.502 20.494
414.989 99.497 20.521
417.996 99.485 20.591
421.025 99.478 20.712
424.076 99.478 20.840
427.149 99.479 20.963
430.244 99.479 21.097
433.362 99.481 21.235
436.502 99.483 21.358
439.665 99.483 21.470
442.851 99.482 21.586
446.060 99.482 21.697
449.293 99.479 21.819
452.548 99.478 21.959
455.828 99.479 22.093
459.131 99.479 22.222
462.458 99.477 22.361
465.809 99.475 22.513
469.184 99.475 22.670
472.584 99.478 22.824
476.009 99.482 22.954
479.458 99.484 23.061
482.933 99.481 23.180
486.432 99.477 23.334
489.957 99.475 23.519
493.507 99.479 23.688
497.084 99.481 23.821
500.686 99.479 23.951
504.314 99.476 24.109
507.968 99.476 24.287
511.649 99.480 24.466
515.357 99.485 24.643
519.091 99.491 24.815
522.853 99.498 24.982
526.642 99.506 25.123
530.458 99.508 25.214
534.302 99.501 25.312
538.174 99.495 25.462
542.074 99.494 25.646
546.002 99.500 25.831
549.958 99.506 25.992
553.943 99.509 26.139
557.958 99.509 26.294
562.001 99.507 26.454
566.073 99.504 26.621
570.175 99.501 26.804
574.307 99.501 27.001
578.469 99.503 27.194
582.660 99.505 27.379
586.883 99.507 27.562
591.135 99.509 27.730
595.419 99.506 27.891
599.734 99.500 28.079
604.080 99.497 28.292
608.457 99.498 28.510
612.866 99.502 28.719
617.307 99.506 28.948
621.780 99.513 29.203
626.286 99.522 29.444
630.824 99.531 29.662
635.396 99.540 29.864
640.000 99.549 30.049
644.638 99.556 30.208
649.309 99.556 30.365
654.014 99.553 30.565
658.753 99.554 30.801
663.527 99.559 31.045
668.335 99.568 31.266
673.178 99.574 31.470
678.056 99.577 31.687
