		
Frequency	dB	Unweighted
19.5	58.1	
19.8	58.4	
20.1	58.7	
20.3	59.1	
20.6	59.4	
20.9	59.8	
21.2	60.1	
21.6	60.4	
21.9	60.7	
22.2	61.0	
22.5	61.3	
22.8	61.5	
23.2	61.8	
23.5	62.0	
23.8	62.1	
24.2	62.3	
24.5	62.4	
24.9	62.6	
25.3	62.8	
25.6	63.0	
26	63.2	
26.4	63.4	
26.8	63.7	
27.2	63.9	
27.5	64.1	
28	64.3	
28.4	64.6	
28.8	64.8	
29.2	65.1	
29.6	65.3	
30	65.5	
30.5	65.7	
30.9	65.9	
31.4	66.1	
31.8	66.3	
32.3	66.5	
32.8	66.7	
33.2	66.9	
33.7	67.1	
34.2	67.3	
34.7	67.6	
35.2	67.8	
35.7	68.0	
36.2	68.2	
36.8	68.4	
37.3	68.6	
37.9	68.8	
38.4	69.0	
39	69.1	
39.5	69.3	
40.1	69.5	
40.7	69.7	
41.3	70.0	
41.9	70.2	
42.5	70.4	
43.1	70.5	
43.7	70.7	
44.4	70.8	
45	70.9	
45.7	71.1	
46.3	71.2	
47	71.4	
47.7	71.6	
48.4	71.8	
49.1	72.0	
49.8	72.1	
50.5	72.3	
51.3	72.5	
52	72.7	
52.8	72.9	
53.5	73.1	
54.3	73.3	
55.1	73.5	
55.9	73.6	
56.7	73.8	
57.5	73.9	
58.4	74.1	
59.2	74.2	
60.1	74.3	
61	74.5	
61.8	74.7	
62.7	74.8	
63.7	75.0	
64.6	75.2	
65.5	75.3	
66.5	75.5	
67.4	75.6	
68.4	75.7	
69.4	75.8	
70.4	75.9	
71.5	76.0	
72.5	76.2	
73.5	76.3	
74.6	76.4	
75.7	76.5	
76.8	76.6	
77.9	76.8	
79.1	77.0	
80.2	77.1	
81.4	77.3	
82.6	77.4	
83.8	77.5	
85	77.7	
86.2	77.8	
87.5	77.9	
88.7	78.0	
90	78.1	
91.3	78.2	
92.7	78.2	
94	78.3	
95.4	78.5	
96.8	78.6	
98.2	78.6	
99.6	78.7	
101	78.8	
103	78.9	
104	79.0	
106	79.0	
107	79.1	
109	79.1	
110	79.2	
112	79.2	
113	79.3	
115	79.3	
117	79.3	
118	79.3	
120	79.3	
122	79.2	
124	79.2	
125	79.2	
127	79.3	
129	79.3	
131	79.3	
133	79.3	
135	79.3	
137	79.2	
139	79.2	
141	79.2	
143	79.2	
145	79.2	
147	79.3	
149	79.3	
151	79.3	
154	79.3	
156	79.2	
158	79.2	
160	79.2	
163	79.2	
165	79.2	
168	79.2	
170	79.2	
172	79.2	
175	79.2	
177	79.2	
180	79.2	
183	79.2	
185	79.2	
188	79.2	
191	79.2	
194	79.2	
196	79.2	
199	79.3	
202	79.3	
205	79.3	
208	79.3	
211	79.3	
214	79.3	
217	79.3	
220	79.3	
224	79.3	
227	79.4	
230	79.4	
234	79.4	
237	79.4	
240	79.4	
244	79.4	
247	79.4	
251	79.4	
255	79.4	
258	79.5	
262	79.5	
266	79.6	
270	79.6	
274	79.6	
278	79.7	
282	79.7	
286	79.7	
290	79.8	
294	79.8	
298	79.8	
303	79.8	
307	79.8	
312	79.9	
316	79.9	
321	80.0	
325	80.0	
330	80.1	
335	80.1	
340	80.2	
345	80.3	
350	80.4	
355	80.6	
360	80.7	
365	80.8	
371	80.9	
376	81.0	
382	81.0	
387	81.0	
393	81.1	
398	81.1	
404	81.1	
410	81.2	
416	81.2	
422	81.2	
428	81.2	
434	81.3	
441	81.3	
447	81.3	
454	81.3	
460	81.3	
467	81.3	
474	81.4	
481	81.4	
488	81.5	
495	81.5	
502	81.6	
509	81.6	
517	81.6	
524	81.7	
532	81.8	
540	81.8	
547	81.9	
555	82.0	
563	82.0	
572	82.0	
580	82.1	
588	82.1	
597	82.1	
606	82.1	
614	82.1	
623	82.1	
632	82.1	
642	82.1	
651	82.0	
660	82.0	
670	82.0	
680	82.0	
690	81.9	
700	81.9	
710	81.9	
720	81.9	
731	81.9	
741	82.0	
752	82.0	
763	82.0	
774	82.0	
785	82.0	
797	82.0	
808	82.0	
820	82.0	
832	82.0	
844	82.0	
856	82.0	
869	81.9	
882	81.9	
894	81.9	
907	81.8	
921	81.8	
934	81.8	
948	81.8	
961	81.8	
975	81.8	
990	81.9	
1004	81.9	
1019	82.0	
1033	82.1	
1048	82.1	
1064	82.2	
1079	82.2	
1095	82.3	
1111	82.3	
1127	82.4	
1143	82.4	
1160	82.5	
1177	82.5	
1194	82.5	
1211	82.6	
1229	82.6	
1247	82.6	
1265	82.6	
1283	82.7	
1302	82.7	
1321	82.7	
1340	82.7	
1360	82.8	
1379	82.8	
1399	82.9	
1420	83.0	
1440	83.1	
1461	83.2	
1483	83.2	
1504	83.3	
1526	83.4	
1548	83.5	
1571	83.5	
1594	83.5	
1617	83.6	
1640	83.6	
1664	83.6	
1688	83.6	
1713	83.7	
1738	83.8	
1763	83.9	
1789	84.0	
1815	84.2	
1841	84.4	
1868	84.5	
1895	84.7	
1923	84.8	
1951	84.9	
1979	85.0	
2008	85.1	
2037	85.3	
2067	85.4	
2097	85.5	
2127	85.7	
2158	86.0	
2190	86.5	
2221	87.0	
2254	87.3	
2287	87.4	
2320	87.5	
2354	87.6	
2388	87.6	
2423	87.7	
2458	87.9	
2494	88.1	
2530	88.3	
2567	88.6	
2604	88.9	
2642	89.1	
2680	89.2	
2719	89.2	
2759	89.2	
2799	89.3	
2840	89.4	
2881	89.4	
2923	89.5	
2965	89.6	
3008	89.8	
3052	89.9	
3097	90.1	
3142	90.2	
