* Measurement data measured by REW V5.20 Beta 4
* Source: Microphone (E.A.R.S Gain: 18dB  ), no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS  With no timing reference
* Dated: Jan 28, 2019 10:41:21 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MyAUdioSession R
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.1 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.145 105.044 142.158
20.291 105.123 141.922
20.438 105.202 141.533
20.586 105.318 140.923
20.735 105.501 140.069
20.885 105.683 139.209
21.037 105.844 138.433
21.189 105.999 137.681
21.343 106.148 136.952
21.497 106.291 136.246
21.653 106.434 135.529
21.810 106.578 134.793
21.968 106.722 134.053
22.127 106.864 133.312
22.288 107.004 132.569
22.449 107.143 131.825
22.612 107.280 131.080
22.776 107.416 130.329
22.941 107.551 129.571
23.107 107.685 128.809
23.274 107.817 128.042
23.443 107.947 127.271
23.613 108.077 126.493
23.784 108.205 125.710
23.956 108.331 124.922
24.130 108.456 124.127
24.305 108.580 123.328
24.481 108.701 122.523
24.658 108.822 121.713
24.837 108.941 120.898
25.017 109.059 120.078
25.198 109.175 119.254
25.381 109.290 118.425
25.565 109.404 117.591
25.750 109.517 116.751
25.937 109.629 115.905
26.125 109.739 115.053
26.314 109.849 114.194
26.505 109.958 113.326
26.697 110.065 112.449
26.890 110.172 111.562
27.085 110.277 110.664
27.281 110.381 109.754
27.479 110.483 108.832
27.678 110.583 107.897
27.879 110.681 106.949
28.081 110.777 105.989
28.284 110.870 105.017
28.489 110.960 104.035
28.696 111.046 103.044
28.904 111.130 102.045
29.113 111.209 101.043
29.324 111.285 100.039
29.537 111.357 99.035
29.751 111.426 98.035
29.966 111.491 97.042
30.183 111.553 96.058
30.402 111.612 95.086
30.622 111.668 94.126
30.844 111.722 93.181
31.068 111.775 92.251
31.293 111.826 91.335
31.520 111.877 90.433
31.748 111.927 89.544
31.978 111.977 88.664
32.210 112.027 87.792
32.443 112.077 86.926
32.678 112.127 86.062
32.915 112.178 85.200
33.154 112.228 84.336
33.394 112.278 83.469
33.636 112.328 82.598
33.880 112.376 81.722
34.125 112.424 80.842
34.372 112.470 79.958
34.621 112.515 79.069
34.872 112.558 78.177
35.125 112.599 77.282
35.380 112.639 76.384
35.636 112.676 75.485
35.894 112.712 74.584
36.154 112.746 73.681
36.416 112.778 72.777
36.680 112.807 71.872
36.946 112.835 70.966
37.214 112.860 70.058
37.483 112.884 69.149
37.755 112.904 68.239
38.029 112.923 67.327
38.304 112.939 66.415
38.582 112.952 65.502
38.861 112.963 64.589
39.143 112.970 63.677
39.427 112.975 62.766
39.712 112.977 61.858
40.000 112.975 60.953
40.290 112.971 60.055
40.582 112.963 59.163
40.876 112.953 58.281
41.172 112.939 57.409
41.470 112.923 56.550
41.771 112.905 55.704
42.074 112.884 54.872
42.379 112.862 54.056
42.686 112.838 53.256
42.995 112.814 52.472
43.306 112.788 51.702
43.620 112.762 50.947
43.936 112.736 50.206
44.255 112.710 49.476
44.575 112.684 48.758
44.898 112.659 48.050
45.224 112.633 47.351
45.552 112.607 46.661
45.882 112.582 45.980
46.214 112.556 45.308
46.549 112.531 44.645
46.886 112.506 43.992
47.226 112.480 43.349
47.568 112.455 42.718
47.913 112.431 42.098
48.260 112.406 41.489
48.610 112.383 40.891
48.962 112.359 40.304
49.317 112.337 39.727
49.674 112.315 39.160
50.034 112.293 38.601
50.397 112.272 38.051
50.762 112.252 37.508
51.130 112.232 36.974
51.500 112.212 36.447
51.874 112.192 35.928
52.249 112.173 35.414
52.628 112.154 34.907
53.009 112.135 34.404
53.394 112.117 33.906
53.781 112.098 33.410
54.170 112.078 32.918
54.563 112.058 32.429
54.958 112.038 31.944
55.356 112.017 31.462
55.758 111.995 30.985
56.162 111.972 30.514
56.569 111.948 30.048
56.978 111.924 29.589
57.391 111.899 29.136
57.807 111.874 28.689
58.226 111.848 28.249
58.648 111.821 27.816
59.073 111.795 27.389
59.501 111.768 26.968
59.932 111.741 26.552
60.367 111.714 26.142
60.804 111.687 25.737
61.245 111.659 25.336
61.688 111.632 24.940
62.135 111.604 24.548
62.586 111.576 24.160
63.039 111.548 23.777
63.496 111.520 23.398
63.956 111.491 23.025
64.420 111.462 22.656
64.886 111.432 22.293
65.357 111.402 21.935
65.830 111.371 21.585
66.307 111.339 21.242
66.788 111.307 20.908
67.272 111.275 20.582
67.759 111.242 20.267
68.250 111.209 19.961
68.745 111.175 19.667
69.243 111.142 19.383
69.745 111.109 19.109
70.250 111.076 18.846
70.759 111.043 18.592
71.272 111.010 18.349
71.788 110.978 18.114
72.309 110.947 17.888
72.833 110.916 17.670
73.360 110.886 17.459
73.892 110.856 17.256
74.427 110.827 17.059
74.967 110.799 16.869
75.510 110.771 16.685
76.057 110.743 16.509
76.608 110.716 16.340
77.163 110.690 16.178
77.723 110.665 16.025
78.286 110.640 15.879
78.853 110.617 15.741
79.424 110.595 15.610
80.000 110.575 15.485
80.580 110.556 15.363
81.164 110.538 15.244
81.752 110.522 15.128
82.344 110.508 15.013
82.941 110.496 14.897
83.542 110.485 14.778
84.147 110.476 14.654
84.757 110.468 14.523
85.371 110.460 14.384
85.990 110.454 14.238
86.613 110.448 14.085
87.241 110.442 13.926
87.873 110.437 13.759
88.510 110.432 13.583
89.151 110.426 13.396
89.797 110.421 13.197
90.448 110.414 12.986
91.103 110.405 12.765
91.763 110.393 12.537
92.428 110.378 12.307
93.098 110.360 12.082
93.773 110.339 11.867
94.452 110.315 11.671
95.137 110.288 11.500
95.826 110.260 11.361
96.520 110.233 11.257
97.220 110.207 11.186
97.924 110.185 11.142
98.634 110.168 11.114
99.349 110.155 11.092
100.069 110.146 11.068
100.794 110.140 11.037
101.524 110.137 10.998
102.260 110.135 10.951
103.001 110.135 10.894
103.747 110.136 10.828
104.499 110.138 10.750
105.256 110.141 10.662
106.019 110.143 10.565
106.787 110.146 10.463
107.561 110.148 10.357
108.340 110.150 10.247
109.126 110.152 10.135
109.916 110.154 10.021
110.713 110.156 9.904
111.515 110.158 9.786
112.323 110.159 9.667
113.137 110.161 9.550
113.957 110.163 9.433
114.783 110.166 9.315
115.614 110.169 9.196
116.452 110.173 9.075
117.296 110.176 8.952
118.146 110.180 8.828
119.002 110.184 8.705
119.865 110.188 8.580
120.733 110.193 8.455
121.608 110.198 8.327
122.489 110.203 8.198
123.377 110.209 8.066
124.271 110.215 7.932
125.171 110.221 7.796
126.078 110.227 7.659
126.992 110.233 7.521
127.912 110.240 7.381
128.839 110.248 7.237
129.773 110.256 7.088
130.713 110.264 6.931
131.660 110.272 6.767
132.615 110.280 6.596
133.575 110.288 6.420
134.543 110.295 6.240
135.518 110.302 6.057
136.500 110.308 5.872
137.490 110.314 5.684
138.486 110.320 5.491
139.489 110.326 5.296
140.500 110.332 5.096
141.518 110.337 4.893
142.544 110.343 4.685
143.577 110.347 4.470
144.617 110.351 4.250
145.665 110.353 4.026
146.721 110.354 3.801
147.784 110.354 3.581
148.855 110.353 3.366
149.933 110.351 3.154
151.020 110.348 2.947
152.114 110.346 2.743
153.217 110.343 2.543
154.327 110.339 2.345
155.445 110.336 2.148
156.572 110.332 1.955
157.706 110.328 1.766
158.849 110.323 1.577
160.000 110.319 1.389
161.159 110.313 1.207
162.327 110.306 1.035
163.504 110.301 0.873
164.688 110.297 0.715
165.882 110.293 0.554
167.084 110.289 0.391
168.295 110.285 0.235
169.514 110.282 0.089
170.742 110.280 -0.053
171.980 110.281 -0.200
173.226 110.283 -0.358
174.481 110.285 -0.525
175.746 110.287 -0.697
177.019 110.288 -0.868
178.302 110.291 -1.042
179.594 110.295 -1.224
180.895 110.299 -1.416
182.206 110.302 -1.615
183.527 110.305 -1.820
184.856 110.306 -2.030
186.196 110.307 -2.240
187.545 110.307 -2.448
188.904 110.307 -2.657
190.273 110.307 -2.872
191.652 110.305 -3.089
193.041 110.302 -3.302
194.440 110.298 -3.510
195.849 110.293 -3.717
197.268 110.286 -3.916
198.697 110.279 -4.097
200.137 110.274 -4.265
201.587 110.270 -4.425
203.048 110.268 -4.582
204.520 110.267 -4.736
206.002 110.268 -4.887
207.494 110.271 -5.041
208.998 110.276 -5.204
210.512 110.281 -5.373
212.038 110.289 -5.546
213.574 110.298 -5.729
215.122 110.308 -5.928
216.681 110.319 -6.148
218.251 110.330 -6.384
219.833 110.340 -6.628
221.426 110.350 -6.882
223.030 110.360 -7.149
224.646 110.370 -7.432
226.274 110.378 -7.725
227.914 110.385 -8.024
229.565 110.392 -8.332
231.229 110.399 -8.654
232.905 110.403 -8.992
234.592 110.406 -9.337
236.292 110.407 -9.682
238.004 110.409 -10.028
239.729 110.411 -10.387
241.466 110.411 -10.767
243.216 110.407 -11.161
244.979 110.399 -11.547
246.754 110.390 -11.922
248.542 110.381 -12.297
250.343 110.371 -12.684
252.157 110.358 -13.080
253.984 110.340 -13.472
255.825 110.321 -13.851
257.678 110.301 -14.219
259.546 110.281 -14.583
261.426 110.260 -14.944
263.321 110.238 -15.298
265.229 110.215 -15.642
267.151 110.193 -15.983
269.087 110.171 -16.323
271.037 110.149 -16.658
273.001 110.126 -16.985
274.979 110.105 -17.313
276.972 110.084 -17.647
278.979 110.063 -17.982
281.000 110.042 -18.318
283.037 110.023 -18.662
285.088 110.006 -19.029
287.153 109.987 -19.420
289.234 109.967 -19.822
291.330 109.948 -20.234
293.441 109.928 -20.676
295.568 109.904 -21.155
297.710 109.874 -21.651
299.867 109.837 -22.144
302.040 109.796 -22.633
304.228 109.749 -23.116
306.433 109.697 -23.584
308.654 109.639 -24.014
310.890 109.579 -24.391
313.143 109.523 -24.721
315.412 109.475 -25.035
317.698 109.433 -25.367
320.000 109.395 -25.750
322.319 109.353 -26.188
324.655 109.303 -26.652
327.007 109.243 -27.106
329.377 109.177 -27.524
331.764 109.109 -27.892
334.168 109.044 -28.220
336.589 108.983 -28.534
339.028 108.928 -28.866
341.485 108.874 -29.244
343.959 108.816 -29.671
346.452 108.750 -30.114
348.962 108.676 -30.541
351.491 108.600 -30.949
354.038 108.521 -31.351
356.604 108.437 -31.747
359.188 108.348 -32.124
361.791 108.257 -32.473
364.412 108.163 -32.801
367.053 108.067 -33.118
369.713 107.967 -33.421
372.392 107.861 -33.696
375.090 107.752 -33.920
377.809 107.645 -34.092
380.546 107.540 -34.232
383.304 107.438 -34.351
386.081 107.338 -34.452
388.879 107.239 -34.542
391.697 107.141 -34.624
394.536 107.043 -34.693
397.395 106.944 -34.739
400.274 106.848 -34.769
403.175 106.751 -34.792
406.096 106.654 -34.786
409.039 106.559 -34.741
412.003 106.471 -34.702
414.989 106.384 -34.701
417.996 106.293 -34.699
421.025 106.203 -34.668
424.076 106.117 -34.610
427.149 106.037 -34.553
430.244 105.960 -34.518
433.362 105.884 -34.509
436.502 105.806 -34.533
439.665 105.722 -34.567
442.851 105.633 -34.571
446.060 105.546 -34.554
449.293 105.461 -34.546
452.548 105.372 -34.550
455.828 105.279 -34.542
459.131 105.185 -34.506
462.458 105.091 -34.443
465.809 105.000 -34.363
469.184 104.913 -34.282
472.584 104.829 -34.214
476.009 104.746 -34.163
479.458 104.661 -34.130
482.933 104.575 -34.106
486.432 104.489 -34.094
489.957 104.400 -34.107
493.507 104.306 -34.138
497.084 104.207 -34.169
500.686 104.103 -34.211
504.314 103.992 -34.274
507.968 103.871 -34.342
511.649 103.738 -34.384
515.357 103.596 -34.373
519.091 103.446 -34.296
522.853 103.289 -34.146
526.642 103.125 -33.900
530.458 102.961 -33.553
534.302 102.801 -33.118
538.174 102.648 -32.631
542.074 102.498 -32.110
546.002 102.348 -31.520
549.958 102.203 -30.858
553.943 102.065 -30.138
557.958 101.937 -29.360
562.001 101.820 -28.524
566.073 101.719 -27.657
570.175 101.632 -26.820
574.307 101.551 -26.058
578.469 101.467 -25.342
582.660 101.383 -24.620
586.883 101.306 -23.896
591.135 101.233 -23.186
595.419 101.158 -22.434
599.734 101.091 -21.629
604.080 101.038 -20.854
608.457 100.990 -20.158
