* Measurement data measured by REW V5.20 Beta 4
* Source: Microphone (E.A.R.S Gain: 18dB  ), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS  With no timing reference
* Dated: Jan 28, 2019 10:42:04 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MyAudioSession L
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.1 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.145 108.853 82.411
20.291 108.891 82.193
20.438 108.930 81.836
20.586 108.987 81.280
20.735 109.078 80.505
20.885 109.166 79.731
21.037 109.243 79.045
21.189 109.314 78.389
21.343 109.381 77.766
21.497 109.444 77.175
21.653 109.505 76.581
21.810 109.567 75.980
21.968 109.627 75.384
22.127 109.685 74.797
22.288 109.741 74.217
22.449 109.796 73.647
22.612 109.849 73.086
22.776 109.901 72.528
22.941 109.951 71.975
23.107 110.001 71.427
23.274 110.048 70.885
23.443 110.095 70.348
23.613 110.141 69.815
23.784 110.185 69.287
23.956 110.228 68.762
24.130 110.270 68.240
24.305 110.311 67.723
24.481 110.351 67.208
24.658 110.390 66.697
24.837 110.428 66.189
25.017 110.465 65.683
25.198 110.501 65.179
25.381 110.536 64.678
25.565 110.571 64.179
25.750 110.604 63.682
25.937 110.637 63.186
26.125 110.669 62.691
26.314 110.700 62.198
26.505 110.730 61.705
26.697 110.760 61.214
26.890 110.788 60.724
27.085 110.816 60.234
27.281 110.843 59.745
27.479 110.869 59.257
27.678 110.895 58.770
27.879 110.919 58.284
28.081 110.943 57.799
28.284 110.966 57.316
28.489 110.988 56.834
28.696 111.010 56.353
28.904 111.031 55.874
29.113 111.051 55.397
29.324 111.071 54.921
29.537 111.090 54.447
29.751 111.108 53.975
29.966 111.126 53.505
30.183 111.144 53.036
30.402 111.160 52.569
30.622 111.177 52.105
30.844 111.193 51.641
31.068 111.209 51.180
31.293 111.224 50.720
31.520 111.239 50.262
31.748 111.253 49.805
31.978 111.267 49.350
32.210 111.281 48.896
32.443 111.294 48.444
32.678 111.307 47.994
32.915 111.319 47.545
33.154 111.331 47.097
33.394 111.343 46.651
33.636 111.355 46.207
33.880 111.365 45.765
34.125 111.376 45.325
34.372 111.386 44.887
34.621 111.396 44.451
34.872 111.405 44.018
35.125 111.414 43.587
35.380 111.423 43.158
35.636 111.431 42.732
35.894 111.439 42.308
36.154 111.447 41.887
36.416 111.455 41.468
36.680 111.462 41.051
36.946 111.469 40.636
37.214 111.476 40.224
37.483 111.482 39.814
37.755 111.488 39.406
38.029 111.494 39.000
38.304 111.500 38.596
38.582 111.505 38.195
38.861 111.510 37.796
39.143 111.514 37.399
39.427 111.519 37.004
39.712 111.523 36.611
40.000 111.526 36.222
40.290 111.529 35.835
40.582 111.532 35.451
40.876 111.535 35.070
41.172 111.537 34.693
41.470 111.539 34.318
41.771 111.541 33.947
42.074 111.542 33.580
42.379 111.544 33.215
42.686 111.545 32.853
42.995 111.547 32.494
43.306 111.548 32.137
43.620 111.549 31.781
43.936 111.550 31.428
44.255 111.551 31.075
44.575 111.551 30.724
44.898 111.551 30.373
45.224 111.551 30.025
45.552 111.550 29.679
45.882 111.549 29.336
46.214 111.547 28.997
46.549 111.545 28.663
46.886 111.542 28.334
47.226 111.540 28.011
47.568 111.537 27.693
47.913 111.535 27.380
48.260 111.533 27.071
48.610 111.532 26.764
48.962 111.531 26.458
49.317 111.530 26.154
49.674 111.529 25.848
50.034 111.528 25.543
50.397 111.527 25.237
50.762 111.526 24.931
51.130 111.525 24.627
51.500 111.523 24.325
51.874 111.521 24.027
52.249 111.518 23.732
52.628 111.516 23.441
53.009 111.514 23.154
53.394 111.513 22.869
53.781 111.512 22.586
54.170 111.511 22.303
54.563 111.511 22.018
54.958 111.511 21.731
55.356 111.512 21.440
55.758 111.512 21.147
56.162 111.512 20.851
56.569 111.511 20.554
56.978 111.510 20.255
57.391 111.509 19.955
57.807 111.507 19.656
58.226 111.504 19.356
58.648 111.502 19.056
59.073 111.498 18.757
59.501 111.494 18.458
59.932 111.490 18.160
60.367 111.485 17.863
60.804 111.480 17.568
61.245 111.474 17.275
61.688 111.467 16.984
62.135 111.460 16.696
62.586 111.453 16.410
63.039 111.446 16.126
63.496 111.438 15.844
63.956 111.430 15.564
64.420 111.421 15.285
64.886 111.412 15.009
65.357 111.403 14.735
65.830 111.393 14.463
66.307 111.383 14.194
66.788 111.372 13.928
67.272 111.361 13.665
67.759 111.350 13.405
68.250 111.338 13.148
68.745 111.326 12.894
69.243 111.314 12.643
69.745 111.302 12.395
70.250 111.289 12.149
70.759 111.276 11.907
71.272 111.263 11.667
71.788 111.249 11.431
72.309 111.235 11.198
72.833 111.221 10.968
73.360 111.206 10.741
73.892 111.192 10.517
74.427 111.177 10.296
74.967 111.161 10.079
75.510 111.145 9.867
76.057 111.129 9.660
76.608 111.112 9.457
77.163 111.096 9.260
77.723 111.079 9.068
78.286 111.062 8.881
78.853 111.045 8.699
79.424 111.028 8.522
80.000 111.012 8.350
80.580 110.995 8.183
81.164 110.978 8.020
81.752 110.961 7.862
82.344 110.944 7.711
82.941 110.927 7.567
83.542 110.910 7.431
84.147 110.893 7.305
84.757 110.877 7.186
85.371 110.863 7.075
85.990 110.849 6.968
86.613 110.837 6.864
87.241 110.825 6.763
87.873 110.815 6.665
88.510 110.805 6.570
89.151 110.797 6.478
89.797 110.791 6.387
90.448 110.786 6.295
91.103 110.783 6.195
91.763 110.782 6.083
92.428 110.781 5.957
93.098 110.780 5.815
93.773 110.778 5.660
94.452 110.775 5.495
95.137 110.770 5.320
95.826 110.762 5.142
96.520 110.752 4.964
97.220 110.738 4.794
97.924 110.723 4.640
98.634 110.706 4.507
99.349 110.689 4.397
100.069 110.672 4.308
100.794 110.658 4.234
101.524 110.646 4.173
102.260 110.635 4.120
103.001 110.627 4.073
103.747 110.621 4.030
104.499 110.618 3.986
105.256 110.617 3.939
106.019 110.617 3.886
106.787 110.619 3.828
107.561 110.622 3.764
108.340 110.627 3.694
109.126 110.633 3.615
109.916 110.639 3.524
110.713 110.647 3.420
111.515 110.654 3.305
112.323 110.660 3.181
113.137 110.665 3.050
113.957 110.670 2.916
114.783 110.674 2.779
115.614 110.678 2.640
116.452 110.682 2.500
117.296 110.685 2.358
118.146 110.688 2.214
119.002 110.691 2.069
119.865 110.694 1.922
120.733 110.697 1.771
121.608 110.699 1.619
122.489 110.701 1.463
123.377 110.703 1.306
124.271 110.705 1.147
125.171 110.706 0.986
126.078 110.706 0.823
126.992 110.706 0.661
127.912 110.705 0.501
128.839 110.704 0.345
129.773 110.703 0.194
130.713 110.702 0.048
131.660 110.702 -0.097
132.615 110.703 -0.244
133.575 110.705 -0.395
134.543 110.706 -0.548
135.518 110.708 -0.703
136.500 110.710 -0.863
137.490 110.712 -1.027
138.486 110.714 -1.195
139.489 110.716 -1.368
140.500 110.718 -1.543
141.518 110.719 -1.723
142.544 110.720 -1.909
143.577 110.720 -2.100
144.617 110.719 -2.293
145.665 110.717 -2.485
146.721 110.714 -2.673
147.784 110.711 -2.856
148.855 110.709 -3.038
149.933 110.706 -3.221
151.020 110.703 -3.408
152.114 110.700 -3.600
153.217 110.696 -3.794
154.327 110.692 -3.989
155.445 110.686 -4.182
156.572 110.679 -4.373
157.706 110.671 -4.561
158.849 110.662 -4.744
160.000 110.653 -4.918
161.159 110.642 -5.077
162.327 110.633 -5.218
163.504 110.625 -5.344
164.688 110.621 -5.464
165.882 110.619 -5.586
167.084 110.620 -5.717
168.295 110.624 -5.858
169.514 110.628 -6.014
170.742 110.634 -6.186
171.980 110.641 -6.374
173.226 110.649 -6.579
174.481 110.656 -6.801
175.746 110.665 -7.043
177.019 110.674 -7.314
178.302 110.683 -7.621
179.594 110.691 -7.976
180.895 110.694 -8.388
182.206 110.689 -8.865
183.527 110.668 -9.396
184.856 110.625 -9.929
186.196 110.557 -10.374
187.545 110.474 -10.642
188.904 110.393 -10.708
190.273 110.327 -10.620
191.652 110.283 -10.459
193.041 110.259 -10.295
194.440 110.250 -10.171
195.849 110.250 -10.108
197.268 110.255 -10.108
198.697 110.260 -10.158
200.137 110.264 -10.242
201.587 110.267 -10.350
203.048 110.268 -10.472
204.520 110.268 -10.602
206.002 110.268 -10.735
207.494 110.268 -10.872
208.998 110.268 -11.015
210.512 110.267 -11.162
212.038 110.267 -11.310
213.574 110.268 -11.458
215.122 110.270 -11.611
216.681 110.275 -11.781
218.251 110.279 -11.974
219.833 110.281 -12.178
221.426 110.282 -12.386
223.030 110.283 -12.600
224.646 110.285 -12.821
226.274 110.286 -13.052
227.914 110.286 -13.295
229.565 110.285 -13.546
231.229 110.283 -13.804
232.905 110.280 -14.070
234.592 110.276 -14.344
236.292 110.270 -14.628
238.004 110.263 -14.922
239.729 110.254 -15.221
241.466 110.244 -15.530
243.216 110.231 -15.844
244.979 110.215 -16.153
246.754 110.197 -16.453
248.542 110.179 -16.748
250.343 110.160 -17.042
252.157 110.138 -17.332
253.984 110.115 -17.614
255.825 110.090 -17.886
257.678 110.065 -18.149
259.546 110.039 -18.412
261.426 110.012 -18.677
263.321 109.983 -18.935
265.229 109.951 -19.171
267.151 109.920 -19.383
269.087 109.890 -19.576
271.037 109.860 -19.749
273.001 109.833 -19.890
274.979 109.810 -20.003
276.972 109.795 -20.110
278.979 109.786 -20.231
281.000 109.782 -20.376
283.037 109.783 -20.550
285.088 109.789 -20.773
287.153 109.795 -21.061
289.234 109.798 -21.403
291.330 109.796 -21.780
293.441 109.789 -22.173
295.568 109.780 -22.576
297.710 109.769 -23.001
299.867 109.755 -23.454
302.040 109.734 -23.921
304.228 109.709 -24.390
306.433 109.679 -24.856
308.654 109.645 -25.316
310.890 109.609 -25.771
313.143 109.570 -26.226
315.412 109.529 -26.689
317.698 109.483 -27.154
320.000 109.433 -27.607
322.319 109.381 -28.047
324.655 109.327 -28.482
327.007 109.271 -28.919
329.377 109.211 -29.351
331.764 109.147 -29.763
334.168 109.081 -30.153
336.589 109.016 -30.532
339.028 108.950 -30.914
341.485 108.881 -31.302
343.959 108.806 -31.675
346.452 108.728 -32.010
348.962 108.653 -32.315
351.491 108.580 -32.626
354.038 108.507 -32.957
356.604 108.429 -33.294
359.188 108.346 -33.618
361.791 108.261 -33.917
364.412 108.176 -34.195
367.053 108.091 -34.468
369.713 108.004 -34.736
372.392 107.915 -34.989
375.090 107.824 -35.215
377.809 107.734 -35.421
380.546 107.646 -35.626
383.304 107.557 -35.833
386.081 107.466 -36.037
388.879 107.374 -36.234
391.697 107.281 -36.423
394.536 107.189 -36.615
397.395 107.094 -36.813
400.274 106.994 -36.993
403.175 106.893 -37.143
406.096 106.793 -37.276
409.039 106.691 -37.411
412.003 106.583 -37.530
414.989 106.474 -37.610
417.996 106.367 -37.686
421.025 106.259 -37.776
424.076 106.149 -37.860
427.149 106.037 -37.929
430.244 105.924 -37.989
433.362 105.809 -38.042
436.502 105.690 -38.088
439.665 105.566 -38.111
442.851 105.439 -38.092
446.060 105.311 -38.032
449.293 105.181 -37.935
452.548 105.052 -37.788
455.828 104.927 -37.597
459.131 104.807 -37.404
462.458 104.689 -37.222
465.809 104.568 -37.032
469.184 104.448 -36.816
472.584 104.329 -36.583
476.009 104.212 -36.363
479.458 104.089 -36.145
482.933 103.961 -35.895
486.432 103.833 -35.619
489.957 103.704 -35.319
493.507 103.574 -34.990
497.084 103.443 -34.643
500.686 103.309 -34.271
504.314 103.170 -33.852
507.968 103.027 -33.360
511.649 102.884 -32.776
515.357 102.746 -32.091
519.091 102.621 -31.323
522.853 102.514 -30.530
526.642 102.421 -29.767
530.458 102.335 -29.037
534.302 102.257 -28.348
538.174 102.180 -27.709
542.074 102.100 -27.099
546.002 102.016 -26.490
549.958 101.927 -25.868
553.943 101.835 -25.234
557.958 101.740 -24.604
562.001 101.638 -23.953
566.073 101.532 -23.244
570.175 101.425 -22.465
574.307 101.319 -21.615
578.469 101.213 -20.695
582.660 101.108 -19.665
586.883 101.016 -18.484
591.135 100.953 -17.208
595.419 100.923 -15.960
