Freq(Hz) SPL(dB) Phase(degrees)
20.145 82.891 146.854
20.291 82.952 146.695
20.438 83.014 146.431
20.586 83.103 146.008
20.735 83.245 145.411
20.885 83.385 144.791
21.037 83.506 144.202
21.189 83.620 143.611
21.343 83.727 143.021
21.497 83.827 142.432
21.653 83.924 141.831
21.810 84.020 141.213
21.968 84.112 140.592
22.127 84.200 139.972
22.288 84.284 139.355
22.449 84.365 138.744
22.612 84.442 138.139
22.776 84.516 137.541
22.941 84.588 136.949
23.107 84.657 136.367
23.274 84.724 135.794
23.443 84.788 135.232
23.613 84.851 134.680
23.784 84.911 134.140
23.956 84.970 133.611
24.130 85.027 133.094
24.305 85.082 132.591
24.481 85.136 132.101
24.658 85.189 131.626
24.837 85.241 131.166
25.017 85.292 130.722
25.198 85.343 130.295
25.381 85.394 129.883
25.565 85.445 129.489
25.750 85.496 129.110
25.937 85.549 128.747
26.125 85.602 128.396
26.314 85.657 128.058
26.505 85.714 127.729
26.697 85.773 127.409
26.890 85.833 127.092
27.085 85.896 126.779
27.281 85.959 126.466
27.479 86.025 126.152
27.678 86.092 125.834
27.879 86.159 125.514
28.081 86.227 125.190
28.284 86.296 124.863
28.489 86.365 124.535
28.696 86.433 124.209
28.904 86.502 123.885
29.113 86.571 123.567
29.324 86.641 123.256
29.537 86.711 122.955
29.751 86.783 122.664
29.966 86.858 122.382
30.183 86.935 122.105
30.402 87.016 121.831
30.622 87.101 121.555
30.844 87.191 121.268
31.068 87.284 120.965
31.293 87.381 120.635
31.520 87.481 120.274
31.748 87.584 119.874
31.978 87.686 119.433
32.210 87.788 118.948
32.443 87.887 118.420
32.678 87.982 117.856
32.915 88.072 117.258
33.154 88.155 116.639
33.394 88.232 116.007
33.636 88.302 115.371
33.880 88.365 114.744
34.125 88.422 114.134
34.372 88.474 113.548
34.621 88.522 112.992
34.872 88.568 112.468
35.125 88.613 111.976
35.380 88.657 111.512
35.636 88.704 111.073
35.894 88.751 110.652
36.154 88.801 110.242
36.416 88.854 109.835
36.680 88.908 109.424
36.946 88.964 109.004
37.214 89.020 108.569
37.483 89.076 108.119
37.755 89.131 107.653
38.029 89.184 107.171
38.304 89.234 106.678
38.582 89.281 106.177
38.861 89.325 105.672
39.143 89.366 105.168
39.427 89.404 104.668
39.712 89.440 104.175
40.000 89.474 103.689
40.290 89.508 103.209
40.582 89.541 102.733
40.876 89.575 102.257
41.172 89.610 101.774
41.470 89.645 101.280
41.771 89.682 100.769
42.074 89.718 100.232
42.379 89.755 99.664
42.686 89.791 99.056
42.995 89.825 98.401
43.306 89.855 97.692
43.620 89.879 96.925
43.936 89.893 96.098
44.255 89.892 95.219
44.575 89.873 94.307
44.898 89.830 93.396
45.224 89.761 92.538
45.552 89.663 91.802
45.882 89.540 91.272
46.214 89.399 91.032
46.549 89.255 91.154
46.886 89.127 91.672
47.226 89.042 92.557
47.568 89.021 93.707
47.913 89.079 94.957
48.260 89.218 96.117
48.610 89.423 97.012
48.962 89.672 97.525
49.317 89.938 97.614
49.674 90.198 97.309
50.034 90.436 96.688
50.397 90.644 95.853
50.762 90.818 94.902
51.130 90.962 93.921
51.500 91.081 92.966
51.874 91.182 92.071
52.249 91.270 91.249
52.628 91.350 90.498
53.009 91.425 89.811
53.394 91.497 89.177
53.781 91.567 88.588
54.170 91.636 88.038
54.563 91.703 87.521
54.958 91.770 87.033
55.356 91.836 86.569
55.758 91.901 86.125
56.162 91.966 85.697
56.569 92.029 85.281
56.978 92.091 84.874
57.391 92.152 84.475
57.807 92.210 84.085
58.226 92.267 83.701
58.648 92.322 83.326
59.073 92.375 82.957
59.501 92.426 82.595
59.932 92.476 82.240
60.367 92.524 81.890
60.804 92.570 81.546
61.245 92.616 81.205
61.688 92.660 80.869
62.135 92.702 80.536
62.586 92.744 80.208
63.039 92.785 79.883
63.496 92.825 79.562
63.956 92.864 79.244
64.420 92.903 78.928
64.886 92.941 78.613
65.357 92.978 78.298
65.830 93.014 77.986
66.307 93.050 77.676
66.788 93.084 77.370
67.272 93.117 77.070
67.759 93.150 76.777
68.250 93.182 76.493
68.745 93.214 76.218
69.243 93.247 75.952
69.745 93.280 75.694
70.250 93.314 75.442
70.759 93.349 75.193
71.272 93.385 74.943
71.788 93.421 74.692
72.309 93.458 74.439
72.833 93.496 74.186
73.360 93.534 73.934
73.892 93.572 73.682
74.427 93.611 73.430
74.967 93.651 73.176
75.510 93.692 72.918
76.057 93.734 72.656
76.608 93.776 72.390
77.163 93.818 72.118
77.723 93.861 71.839
78.286 93.904 71.551
78.853 93.946 71.255
79.424 93.987 70.953
80.000 94.027 70.646
80.580 94.065 70.337
81.164 94.100 70.026
81.752 94.133 69.718
82.344 94.162 69.424
82.941 94.189 69.156
83.542 94.215 68.926
84.147 94.243 68.731
84.757 94.276 68.559
85.371 94.314 68.393
85.990 94.357 68.218
86.613 94.403 68.024
87.241 94.451 67.806
87.873 94.501 67.564
88.510 94.550 67.297
89.151 94.597 67.006
89.797 94.643 66.696
90.448 94.686 66.372
91.103 94.727 66.036
91.763 94.764 65.688
