Freq(Hz) SPL(dB) Phase(degrees)
20.145 107.480 78.308
20.291 107.519 78.093
20.438 107.558 77.741
20.586 107.616 77.193
20.735 107.707 76.427
20.885 107.796 75.664
21.037 107.874 74.988
21.189 107.946 74.343
21.343 108.014 73.729
21.497 108.078 73.147
21.653 108.140 72.563
21.810 108.203 71.972
21.968 108.264 71.385
22.127 108.324 70.808
22.288 108.382 70.238
22.449 108.438 69.676
22.612 108.492 69.123
22.776 108.545 68.574
22.941 108.597 68.028
23.107 108.648 67.487
23.274 108.698 66.951
23.443 108.746 66.419
23.613 108.793 65.891
23.784 108.839 65.367
23.956 108.884 64.845
24.130 108.927 64.326
24.305 108.970 63.809
24.481 109.011 63.295
24.658 109.051 62.783
24.837 109.090 62.273
25.017 109.128 61.765
25.198 109.165 61.258
25.381 109.201 60.753
25.565 109.235 60.250
25.750 109.269 59.748
25.937 109.302 59.247
26.125 109.333 58.747
26.314 109.364 58.249
26.505 109.393 57.751
26.697 109.422 57.255
26.890 109.450 56.759
27.085 109.476 56.264
27.281 109.502 55.770
27.479 109.527 55.276
27.678 109.551 54.783
27.879 109.573 54.292
28.081 109.595 53.801
28.284 109.616 53.312
28.489 109.636 52.825
28.696 109.654 52.339
28.904 109.672 51.857
29.113 109.689 51.377
29.324 109.705 50.900
29.537 109.720 50.428
29.751 109.735 49.959
29.966 109.749 49.493
30.183 109.763 49.032
30.402 109.776 48.573
30.622 109.789 48.118
30.844 109.802 47.665
31.068 109.814 47.213
31.293 109.826 46.762
31.520 109.839 46.312
31.748 109.850 45.861
31.978 109.862 45.409
32.210 109.872 44.957
32.443 109.882 44.505
32.678 109.891 44.054
32.915 109.899 43.603
33.154 109.906 43.156
33.394 109.913 42.712
33.636 109.918 42.273
33.880 109.922 41.840
34.125 109.926 41.414
34.372 109.929 40.996
34.621 109.932 40.586
34.872 109.935 40.184
35.125 109.938 39.789
35.380 109.941 39.401
35.636 109.945 39.020
35.894 109.949 38.643
36.154 109.954 38.271
36.416 109.960 37.900
36.680 109.967 37.532
36.946 109.974 37.163
37.214 109.981 36.793
37.483 109.990 36.421
37.755 109.998 36.045
38.029 110.007 35.665
38.304 110.016 35.279
38.582 110.025 34.888
38.861 110.033 34.492
39.143 110.040 34.090
39.427 110.046 33.685
39.712 110.050 33.277
40.000 110.053 32.869
40.290 110.055 32.462
40.582 110.054 32.059
40.876 110.052 31.664
41.172 110.049 31.278
41.470 110.044 30.904
41.771 110.038 30.543
42.074 110.032 30.197
42.379 110.027 29.866
42.686 110.021 29.551
42.995 110.017 29.249
43.306 110.014 28.960
43.620 110.013 28.680
43.936 110.015 28.407
44.255 110.018 28.137
44.575 110.024 27.867
44.898 110.031 27.594
45.224 110.041 27.315
45.552 110.052 27.028
45.882 110.065 26.733
46.214 110.078 26.429
46.549 110.092 26.118
46.886 110.107 25.798
47.226 110.122 25.472
47.568 110.139 25.136
47.913 110.157 24.791
48.260 110.176 24.433
48.610 110.197 24.058
48.962 110.219 23.660
49.317 110.241 23.236
49.674 110.263 22.781
50.034 110.285 22.291
50.397 110.303 21.767
50.762 110.319 21.208
51.130 110.329 20.617
51.500 110.334 19.998
51.874 110.333 19.359
52.249 110.324 18.705
52.628 110.307 18.044
53.009 110.282 17.385
53.394 110.250 16.733
53.781 110.210 16.096
54.170 110.163 15.479
54.563 110.108 14.889
54.958 110.047 14.330
55.356 109.979 13.807
55.758 109.906 13.324
56.162 109.828 12.887
56.569 109.745 12.500
56.978 109.659 12.167
57.391 109.570 11.890
57.807 109.479 11.671
58.226 109.388 11.509
58.648 109.296 11.403
59.073 109.206 11.352
59.501 109.117 11.354
59.932 109.030 11.410
60.367 108.945 11.518
60.804 108.863 11.680
61.245 108.785 11.895
61.688 108.712 12.162
62.135 108.644 12.481
62.586 108.583 12.849
63.039 108.529 13.261
63.496 108.483 13.714
63.956 108.446 14.202
64.420 108.419 14.720
64.886 108.402 15.261
65.357 108.396 15.818
65.830 108.402 16.383
66.307 108.418 16.948
66.788 108.446 17.504
67.272 108.485 18.044
67.759 108.535 18.560
68.250 108.595 19.047
68.745 108.665 19.497
69.243 108.743 19.907
69.745 108.830 20.270
70.250 108.924 20.583
70.759 109.024 20.843
71.272 109.130 21.046
71.788 109.241 21.192
72.309 109.356 21.278
72.833 109.474 21.306
73.360 109.594 21.274
73.892 109.715 21.186
74.427 109.836 21.040
74.967 109.958 20.841
75.510 110.079 20.590
76.057 110.198 20.289
76.608 110.316 19.943
77.163 110.431 19.553
77.723 110.545 19.123
78.286 110.656 18.655
78.853 110.764 18.148
79.424 110.871 17.602
80.000 110.974 17.014
80.580 111.073 16.384
81.164 111.168 15.710
81.752 111.256 14.994
82.344 111.337 14.239
82.941 111.410 13.451
83.542 111.471 12.640
84.147 111.521 11.821
84.757 111.558 11.014
85.371 111.583 10.246
85.990 111.597 9.542
86.613 111.606 8.921
87.241 111.614 8.390
87.873 111.626 7.937
88.510 111.646 7.539
89.151 111.676 7.165
89.797 111.716 6.784
90.448 111.762 6.375
91.103 111.812 5.926
91.763 111.864 5.434
92.428 111.915 4.902
93.098 111.963 4.337
93.773 112.008 3.748
94.452 112.049 3.144
95.137 112.086 2.529
95.826 112.121 1.910
96.520 112.152 1.289
97.220 112.181 0.666
97.924 112.209 0.042
98.634 112.235 -0.585
99.349 112.258 -1.213
100.069 112.281 -1.845
100.794 112.302 -2.480
101.524 112.320 -3.119
102.260 112.337 -3.760
103.001 112.352 -4.399
103.747 112.365 -5.036
104.499 112.377 -5.667
105.256 112.387 -6.294
106.019 112.398 -6.918
106.787 112.408 -7.543
107.561 112.417 -8.170
108.340 112.426 -8.800
109.126 112.434 -9.435
109.916 112.440 -10.074
110.713 112.446 -10.716
111.515 112.451 -11.364
112.323 112.454 -12.017
113.137 112.456 -12.677
113.957 112.456 -13.342
114.783 112.454 -14.013
115.614 112.451 -14.689
116.452 112.445 -15.371
117.296 112.438 -16.058
118.146 112.428 -16.752
119.002 112.415 -17.450
119.865 112.399 -18.149
120.733 112.380 -18.845
121.608 112.357 -19.535
122.489 112.333 -20.217
123.377 112.305 -20.890
124.271 112.275 -21.551
125.171 112.243 -22.196
126.078 112.210 -22.821
126.992 112.177 -23.426
127.912 112.145 -24.016
128.839 112.114 -24.595
129.773 112.086 -25.173
130.713 112.059 -25.759
131.660 112.034 -26.360
132.615 112.009 -26.980
133.575 111.982 -27.618
134.543 111.953 -28.271
135.518 111.922 -28.932
136.500 111.888 -29.594
137.490 111.852 -30.258
138.486 111.816 -30.930
139.489 111.777 -31.612
140.500 111.734 -32.300
141.518 111.689 -32.986
142.544 111.640 -33.663
143.577 111.590 -34.330
144.617 111.538 -34.988
145.665 111.486 -35.639
146.721 111.433 -36.287
147.784 111.379 -36.935
148.855 111.324 -37.584
149.933 111.266 -38.229
151.020 111.207 -38.868
152.114 111.147 -39.502
153.217 111.086 -40.132
154.327 111.022 -40.757
155.445 110.957 -41.374
156.572 110.891 -41.984
157.706 110.825 -42.592
158.849 110.757 -43.205
160.000 110.687 -43.825
161.159 110.612 -44.438
162.327 110.534 -45.032
163.504 110.455 -45.608
164.688 110.375 -46.176
165.882 110.295 -46.741
167.084 110.213 -47.304
168.295 110.130 -47.862
169.514 110.044 -48.414
170.742 109.956 -48.955
171.980 109.866 -49.485
173.226 109.776 -50.000
174.481 109.684 -50.503
175.746 109.593 -50.995
177.019 109.500 -51.477
178.302 109.408 -51.950
179.594 109.317 -52.417
180.895 109.225 -52.887
182.206 109.134 -53.361
183.527 109.041 -53.840
184.856 108.947 -54.325
186.196 108.850 -54.816
187.545 108.751 -55.312
188.904 108.647 -55.806
190.273 108.538 -56.291
191.652 108.425 -56.758
193.041 108.308 -57.199
194.440 108.188 -57.608
195.849 108.067 -57.989
197.268 107.947 -58.352
198.697 107.826 -58.708
200.137 107.703 -59.064
201.587 107.577 -59.420
203.048 107.444 -59.767
204.520 107.306 -60.089
206.002 107.160 -60.374
207.494 107.008 -60.607
208.998 106.848 -60.770
210.512 106.683 -60.833
212.038 106.514 -60.762
213.574 106.350 -60.528
215.122 106.200 -60.128
216.681 106.076 -59.596
218.251 105.984 -59.004
219.833 105.928 -58.447
221.426 105.900 -58.010
223.030 105.890 -57.744
224.646 105.885 -57.658
226.274 105.875 -57.727
227.914 105.852 -57.909
229.565 105.814 -58.148
231.229 105.761 -58.388
232.905 105.698 -58.591
234.592 105.631 -58.741
236.292 105.564 -58.839
238.004 105.503 -58.898
239.729 105.454 -58.955
241.466 105.417 -59.068
243.216 105.386 -59.291
244.979 105.351 -59.641
246.754 105.302 -60.088
248.542 105.235 -60.577
250.343 105.150 -61.047
252.157 105.051 -61.449
253.984 104.946 -61.763
255.825 104.841 -62.003
257.678 104.739 -62.186
259.546 104.641 -62.327
261.426 104.549 -62.436
263.321 104.463 -62.524
265.229 104.386 -62.608
267.151 104.318 -62.710
269.087 104.259 -62.853
271.037 104.207 -63.067
273.001 104.160 -63.387
274.979 104.109 -63.836
276.972 104.047 -64.413
278.979 103.964 -65.078
281.000 103.856 -65.769
283.037 103.725 -66.414
285.088 103.577 -66.969
287.153 103.419 -67.431
289.234 103.255 -67.804
291.330 103.085 -68.090
293.441 102.914 -68.291
295.568 102.743 -68.409
297.710 102.574 -68.451
299.867 102.409 -68.436
302.040 102.249 -68.369
304.228 102.095 -68.258
306.433 101.948 -68.124
308.654 101.807 -67.980
310.890 101.670 -67.830
313.143 101.537 -67.678
315.412 101.406 -67.528
317.698 101.277 -67.380
320.000 101.148 -67.227
322.319 101.020 -67.066
324.655 100.892 -66.906
327.007 100.763 -66.749
329.377 100.633 -66.595
331.764 100.499 -66.436
334.168 100.361 -66.251
336.589 100.220 -66.018
339.028 100.081 -65.741
341.485 99.945 -65.427
343.959 99.811 -65.079
346.452 99.683 -64.713
348.962 99.559 -64.347
351.491 99.436 -63.973
354.038 99.316 -63.577
356.604 99.201 -63.173
359.188 99.089 -62.781
361.791 98.977 -62.403
364.412 98.863 -62.012
367.053 98.750 -61.598
