Frequency	dB	Unweighted
19.5	64.5	
19.8	64.5	
20.1	64.5	
20.3	64.7	
20.6	64.8	
20.9	65.0	
21.2	65.2	
21.6	65.4	
21.9	65.6	
22.2	65.8	
22.5	66.0	
22.8	66.3	
23.2	66.6	
23.5	66.8	
23.8	67.1	
24.2	67.3	
24.5	67.6	
24.9	67.8	
25.3	68.0	
25.6	68.2	
26	68.4	
26.4	68.5	
26.8	68.6	
27.2	68.6	
27.5	68.7	
28	68.9	
28.4	69.0	
28.8	69.3	
29.2	69.5	
29.6	69.8	
30	70.1	
30.5	70.4	
30.9	70.6	
31.4	70.9	
31.8	71.1	
32.3	71.3	
32.8	71.5	
33.2	71.7	
33.7	71.8	
34.2	72.0	
34.7	72.0	
35.2	72.1	
35.7	72.1	
36.2	72.1	
36.8	72.1	
37.3	72.1	
37.9	72.2	
38.4	72.3	
39	72.5	
39.5	72.8	
40.1	73.0	
40.7	73.2	
41.3	73.3	
41.9	73.4	
42.5	73.4	
43.1	73.5	
43.7	73.6	
44.4	73.8	
45	74.0	
45.7	74.2	
46.3	74.3	
47	74.3	
47.7	74.1	
48.4	73.8	
49.1	73.5	
49.8	73.4	
50.5	73.6	
51.3	73.9	
52	74.2	
52.8	74.4	
53.5	74.5	
54.3	74.5	
55.1	74.5	
55.9	74.5	
56.7	74.5	
57.5	74.5	
58.4	74.5	
59.2	74.5	
60.1	74.4	
61	74.6	
61.8	74.8	
62.7	75.0	
63.7	75.0	
64.6	75.0	
65.5	75.3	
66.5	75.5	
67.4	75.5	
68.4	75.4	
69.4	75.4	
70.4	75.6	
71.5	75.6	
72.5	75.5	
73.5	75.4	
74.6	75.4	
75.7	75.5	
76.8	75.6	
77.9	75.6	
79.1	75.6	
80.2	75.7	
81.4	75.6	
82.6	75.5	
83.8	75.5	
85	75.5	
86.2	75.7	
87.5	75.9	
88.7	76.1	
90	76.1	
91.3	76.0	
92.7	75.9	
94	75.7	
95.4	75.6	
96.8	75.5	
98.2	75.4	
99.6	75.4	
101	75.6	
103	75.9	
104	76.3	
106	77.0	
107	77.6	
109	77.7	
110	77.2	
112	76.5	
113	76.2	
115	76.1	
117	76.3	
118	76.5	
120	76.5	
122	76.4	
124	76.4	
125	76.5	
127	76.5	
129	76.6	
131	76.6	
133	76.5	
135	76.4	
137	76.4	
139	76.4	
141	76.3	
143	76.3	
145	76.2	
147	76.2	
149	76.1	
151	76.0	
154	75.9	
156	75.8	
158	75.8	
160	75.8	
163	75.7	
165	75.6	
168	75.5	
170	75.5	
172	75.5	
175	75.5	
177	75.5	
180	75.5	
183	75.4	
185	75.3	
188	75.2	
191	75.2	
194	75.3	
196	75.4	
199	75.3	
202	75.3	
205	75.3	
208	75.3	
211	75.4	
214	75.5	
217	75.4	
220	75.5	
224	75.5	
227	75.4	
230	75.5	
234	75.5	
237	75.5	
240	75.5	
244	75.5	
247	75.5	
251	75.4	
255	75.4	
258	75.4	
262	75.4	
266	75.4	
270	75.4	
274	75.3	
278	75.2	
282	75.1	
286	74.9	
290	74.8	
294	74.8	
298	74.9	
303	75.4	
307	75.6	
312	75.7	
316	75.7	
321	75.9	
325	76.0	
330	76.0	
335	76.0	
340	76.0	
345	76.1	
350	76.2	
355	76.2	
360	76.2	
365	76.2	
371	76.1	
376	76.1	
382	76.2	
387	76.3	
