		
Frequency	dB	Unweighted
19.5	91.6	
19.8	91.6	
20.1	91.7	
20.3	91.8	
20.6	91.9	
20.9	92.0	
21.2	92.0	
21.6	92.1	
21.9	92.2	
22.2	92.3	
22.5	92.4	
22.8	92.4	
23.2	92.5	
23.5	92.6	
23.8	92.6	
24.2	92.7	
24.5	92.7	
24.9	92.8	
25.3	92.8	
25.6	92.8	
26	92.9	
26.4	92.9	
26.8	92.9	
27.2	92.9	
27.5	93.0	
28	93.0	
28.4	93.1	
28.8	93.2	
29.2	93.2	
29.6	93.3	
30	93.3	
30.5	93.3	
30.9	93.3	
31.4	93.3	
31.8	93.3	
32.3	93.3	
32.8	93.3	
33.2	93.3	
33.7	93.3	
34.2	93.3	
34.7	93.2	
35.2	93.2	
35.7	93.2	
36.2	93.1	
36.8	93.1	
37.3	93.1	
37.9	93.1	
38.4	93.0	
39	93.0	
39.5	93.0	
40.1	93.0	
40.7	93.0	
41.3	92.9	
41.9	92.9	
42.5	92.8	
43.1	92.8	
43.7	92.8	
44.4	92.7	
45	92.7	
45.7	92.7	
46.3	92.7	
47	92.6	
47.7	92.6	
48.4	92.6	
49.1	92.6	
49.8	92.6	
50.5	92.6	
51.3	92.7	
52	92.7	
52.8	92.7	
53.5	92.7	
54.3	92.8	
55.1	92.8	
55.9	92.8	
56.7	92.9	
57.5	92.9	
58.4	93.0	
59.2	93.1	
60.1	93.2	
61	93.3	
61.8	93.4	
62.7	93.5	
63.7	93.6	
64.6	93.7	
65.5	93.8	
66.5	93.9	
67.4	94.0	
68.4	94.1	
69.4	94.2	
70.4	94.3	
71.5	94.3	
72.5	94.4	
73.5	94.5	
74.6	94.5	
75.7	94.6	
76.8	94.7	
77.9	94.7	
79.1	94.8	
80.2	94.8	
81.4	94.9	
82.6	95.0	
83.8	95.0	
85	95.1	
86.2	95.1	
87.5	95.1	
88.7	95.2	
90	95.2	
91.3	95.2	
92.7	95.2	
94	95.2	
95.4	95.3	
96.8	95.3	
98.2	95.4	
99.6	95.4	
101	95.4	
103	95.4	
104	95.3	
106	95.3	
107	95.3	
109	95.2	
110	95.1	
112	95.1	
113	95.2	
115	95.2	
117	95.1	
118	95.1	
120	95.1	
122	95.0	
124	95.0	
125	95.0	
127	94.9	
129	94.9	
131	94.8	
133	94.8	
135	94.8	
137	94.7	
139	94.7	
141	94.6	
143	94.6	
145	94.5	
147	94.5	
149	94.4	
151	94.3	
154	94.2	
156	94.2	
158	94.1	
160	94.1	
163	94.1	
165	94.1	
168	94.1	
170	94.1	
172	94.1	
175	94.0	
177	94.0	
180	93.9	
183	93.9	
185	93.8	
188	93.7	
191	93.7	
194	93.6	
196	93.5	
199	93.5	
202	93.4	
205	93.3	
208	93.3	
211	93.2	
214	93.2	
217	93.2	
220	93.2	
224	93.2	
227	93.2	
230	93.1	
234	93.1	
237	93.0	
240	92.9	
244	92.8	
247	92.8	
251	92.8	
255	92.8	
258	92.7	
262	92.7	
266	92.6	
270	92.6	
274	92.6	
278	92.5	
282	92.5	
286	92.4	
290	92.4	
294	92.3	
298	92.2	
303	92.1	
307	92.0	
312	91.9	
316	91.8	
321	91.8	
325	91.7	
330	91.6	
335	91.5	
