Frequency	dB
19.5	85.212
19.8	85.142
20.1	85.121
20.3	85.121
20.6	85.793
20.9	87.167
21.2	88.490
21.6	89.154
21.9	88.974
22.2	88.094
22.5	87.503
22.8	88.600
23.2	90.658
23.5	90.658
23.8	92.288
24.2	93.065
24.5	92.969
24.9	92.051
25.3	90.475
25.6	88.675
26	87.540
26.4	87.528
26.8	87.971
27.2	88.276
27.5	88.344
28	88.262
28.4	88.378
28.8	88.653
29.2	89.024
29.6	89.373
30	89.608
30.5	89.700
30.9	89.749
31.4	90.034
31.8	90.280
32.3	90.497
32.8	90.749
33.2	90.831
33.7	90.912
34.2	90.999
34.7	91.183
35.2	91.259
35.7	91.377
36.2	91.435
36.8	91.579
37.3	91.652
37.9	91.720
38.4	91.793
39	91.785
39.5	91.763
40.1	91.677
40.7	91.614
41.3	91.465
41.9	91.378
42.5	91.208
43.1	91.037
43.7	90.900
44.4	90.485
45	90.185
45.7	90.209
46.3	90.183
47	89.887
47.7	90.039
48.4	90.673
49.1	90.805
49.8	90.247
50.5	89.871
51.3	89.882
52	89.716
52.8	89.497
53.5	89.467
54.3	89.425
55.1	89.371
55.9	89.372
56.7	89.289
57.5	89.193
58.4	89.113
59.2	88.999
60.1	88.910
61	88.803
61.8	88.790
62.7	88.754
63.7	88.762
64.6	88.935
65.5	88.766
66.5	88.574
67.4	88.677
68.4	88.534
69.4	88.606
70.4	88.589
71.5	88.544
72.5	89.021
73.5	88.642
74.6	88.389
75.7	88.364
76.8	88.283
77.9	88.295
79.1	88.217
80.2	88.239
81.4	88.246
82.6	88.284
83.8	88.271
85	88.291
86.2	88.307
87.5	88.241
88.7	88.241
90	88.231
91.3	88.259
92.7	88.258
94	88.274
95.4	88.319
96.8	88.328
98.2	88.241
99.6	88.234
101	88.248
103	88.200
104	88.172
106	88.167
107	88.152
109	88.173
110	88.159
112	88.160
113	88.119
115	88.049
117	87.973
118	87.954
120	87.860
122	87.729
124	87.673
125	87.571
127	87.530
129	87.411
131	87.265
133	87.176
135	87.012
137	86.927
139	86.774
141	86.659
143	86.506
145	86.377
147	86.256
149	86.081
151	85.981
154	85.769
156	85.622
158	85.503
160	85.377
163	85.183
165	85.041
168	84.865
170	84.772
172	84.638
175	84.491
177	84.397
180	84.246
183	84.121
185	84.032
188	83.895
191	83.791
194	83.695
196	83.636
199	83.551
202	83.425
205	83.303
208	83.182
211	83.054
214	82.952
217	82.848
220	82.748
224	82.615
227	82.503
230	82.380
234	82.205
237	82.098
240	82.006
244	81.894
247	81.829
251	81.702
255	81.599
258	81.515
262	81.374
266	81.250
270	81.149
274	81.064
278	81.005
282	80.924
286	80.840
290	80.742
294	80.649
298	80.553
303	80.458
307	80.387
312	80.310
316	80.239
321	80.132
325	80.039
330	79.941
335	79.836
340	79.713
345	79.603
350	79.497
355	79.428
360	79.338
365	79.270
371	79.164
376	79.100
382	78.994
387	78.939
393	78.906
398	78.900
404	78.901
410	78.921
416	78.969
422	79.020
428	79.053
434	79.095
441	79.154
447	79.235
454	79.318
460	79.397
467	79.507
474	79.606
481	79.732
488	79.825
495	79.900
502	80.000
509	80.112
517	80.227
524	80.332
532	80.391
540	80.460
547	80.443
555	80.430
563	80.369
572	80.271
580	80.135
588	80.045
597	79.896
606	79.815
614	79.748
623	79.691
632	79.655
642	79.629
651	79.601
660	79.672
670	79.698
680	79.772
690	79.812
700	79.793
710	79.687
720	79.587
731	79.491
741	79.467
752	79.486
763	79.587
774	79.715
785	79.941
797	80.131
808	80.386
820	80.682
832	80.928
844	81.235
856	81.464
869	81.662
882	81.882
894	82.055
907	82.150
921	82.230
934	82.257
948	82.251
961	82.232
975	82.192
990	82.116
1004	82.081
1019	82.014
1033	81.904
1048	81.756
1064	81.659
1079	81.699
1095	81.820
1111	81.974
1127	82.105
1143	82.158
1160	82.190
1177	82.193
1194	82.260
1211	82.336
1229	82.551
1247	82.880
1265	83.273
1283	83.619
1302	83.803
1321	83.738
1340	83.613
1360	83.353
1379	83.028
1399	82.709
1420	82.377
1440	82.080
1461	81.735
1483	81.369
1504	81.061
1526	80.701
1548	80.422
1571	80.155
1594	79.863
1617	79.598
1640	79.327
1664	79.032
1688	78.753
1713	78.507
1738	78.274
1763	78.052
1789	77.808
1815	77.633
1841	77.421
1868	77.149
1895	76.927
1923	76.689
1951	76.441
1979	76.190
2008	75.969
2037	75.817
2067	75.727
2097	75.729
2127	75.728
2158	75.752
2190	75.874
2221	76.051
2254	76.360
2287	76.722
2320	77.098
2354	77.456
2388	77.823
2423	78.175
2458	78.537
2494	79.035
2530	79.607
2567	80.200
2604	80.837
2642	81.566
2680	82.291
2719	82.991
2759	83.611
2799	84.182
2840	84.730
2881	85.246
2923	85.750
2965	86.235
3008	86.774
3052	87.313
3097	87.823
3142	88.327
3187	88.833
3234	89.424
3281	89.962
3328	90.479
3377	90.954
3426	91.463
3476	91.987
3526	92.585
3578	93.110
3630	93.646
3682	94.153
3736	94.748
3790	95.407
3846	96.125
3901	96.818
3958	97.431
4016	97.836
4074	98.266
4133	98.632
4194	98.907
4255	99.136
4316	99.178
4379	99.008
4443	98.490
4508	97.775
4573	97.022
4640	96.555
4707	96.770
4776	97.728
4845	98.911
4916	99.726
4987	99.701
5060	98.959
5133	98.225
5208	97.433
5284	96.496
5360	95.415
5438	94.189
5518	93.047
5598	91.876
5679	90.906
5762	90.313
5846	89.530
5931	88.430
6017	87.342
6104	86.287
6193	85.413
6283	84.950
6375	84.856
6467	84.676
6561	84.522
6657	84.608
6754	84.893
6852	85.332
6952	85.773
7053	86.311
7155	86.850
7259	87.423
7365	87.959
7472	88.438
7581	88.857
7691	89.364
7803	89.837
7916	89.907
8032	89.761
8148	88.979
8267	87.961
8387	86.633
8509	85.385
8633	84.340
8758	83.485
8886	82.585
9015	81.510
9146	81.079
9279	80.709
9414	81.264
9551	82.436
9690	82.646
9831	82.100
9974	81.872
10119	82.178
10266	81.921
10416	81.279
10567	81.142
10721	81.524
10877	81.836
11035	81.332
11196	80.835
11358	81.374
11524	81.658
11691	81.015
11861	80.726
12034	82.054
12209	82.720
12386	80.247
12567	76.903
12749	75.361
12935	75.508
13123	76.230
13314	76.879
13507	77.732
13704	78.496
13903	78.747
14105	76.299
14311	73.723
14519	74.547
14730	75.199
14944	75.169
15162	74.818
15382	74.267
15606	73.283
15833	71.336
16063	68.378
16297	64.857
16534	60.356
16774	51.935
17018	41.453
17266	27.557
17517	38.084
17772	36.424
18030	33.484
18293	37.358
18559	31.119
18829	34.771
19102	39.242
19380	31.083
20000	28.891
